Israel, Total Population, Exposure to risk (period 5x5)     Last modified: 30-Oct-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1983-1984      0        94567.91    100483.37    195051.28 
1983-1984    1-4       360425.95    381644.79    742070.74 
1983-1984    5-9       449659.67    473655.96    923315.64 
1983-1984   10-14      405728.67    427051.54    832780.21 
1983-1984   15-19      348307.74    375226.23    723533.97 
1983-1984   20-24      323859.76    339980.14    663839.90 
1983-1984   25-29      322630.94    322140.23    644771.17 
1983-1984   30-34      316943.94    314326.56    631270.49 
1983-1984   35-39      261322.33    254727.08    516049.41 
1983-1984   40-44      178845.34    173425.93    352271.27 
1983-1984   45-49      179336.23    170365.80    349702.03 
1983-1984   50-54      171768.03    156613.44    328381.47 
1983-1984   55-59      172974.20    143827.09    316801.29 
1983-1984   60-64      156563.75    140569.18    297132.92 
1983-1984   65-69      123740.28    104463.10    228203.38 
1983-1984   70-74      124879.01    111265.11    236144.11 
1983-1984   75-79       74991.01     70944.46    145935.47 
1983-1984   80-84       45461.77     37447.52     82909.29 
1983-1984   85-89       17537.18     13971.89     31509.06 
1983-1984   90-94        5083.63      3948.98      9032.61 
1983-1984   95-99        1108.25       852.23      1960.48 
1983-1984  100-104        144.20       112.85       257.05 
1983-1984  105-109          6.42         4.28        10.69 
1983-1984  110+             0.00         0.00         0.00 
1985-1989      0       241879.71    254356.19    496235.90 
1985-1989    1-4       949287.22   1002199.33   1951486.54 
1985-1989    5-9      1128446.84   1193478.39   2321925.23 
1985-1989   10-14     1101874.01   1158717.29   2260591.30 
1985-1989   15-19      971121.33   1020602.30   1991723.62 
1985-1989   20-24      854405.64    907442.86   1761848.51 
1985-1989   25-29      809824.86    818493.39   1628318.25 
1985-1989   30-34      808434.11    799803.01   1608237.12 
1985-1989   35-39      758659.35    745481.96   1504141.31 
1985-1989   40-44      571408.30    556021.08   1127429.37 
1985-1989   45-49      443570.04    426196.54    869766.57 
1985-1989   50-54      436295.78    407843.38    844139.15 
1985-1989   55-59      418159.94    367752.83    785912.77 
1985-1989   60-64      417418.01    342878.11    760296.12 
1985-1989   65-69      334737.95    293389.97    628127.92 
1985-1989   70-74      291982.86    240939.98    532922.84 
1985-1989   75-79      232368.70    204233.03    436601.73 
1985-1989   80-84      140205.98    116927.07    257133.04 
1985-1989   85-89       59614.43     45337.61    104952.04 
1985-1989   90-94       16011.34     12348.34     28359.68 
1985-1989   95-99        3134.65      2402.12      5536.78 
1985-1989  100-104        352.69       275.08       627.77 
1985-1989  105-109         13.40         8.85        22.25 
1985-1989  110+             0.00         0.00         0.00 
1990-1994      0       263175.76    277263.05    540438.81 
1990-1994    1-4      1039303.41   1084650.59   2123954.00 
1990-1994    5-9      1270637.69   1325370.05   2596007.74 
1990-1994   10-14     1191880.60   1266530.27   2458410.88 
1990-1994   15-19     1164922.01   1223639.32   2388561.32 
1990-1994   20-24     1045343.48   1056994.74   2102338.21 
1990-1994   25-29      917856.12    907458.33   1825314.45 
1990-1994   30-34      879862.46    859382.45   1739244.91 
1990-1994   35-39      877703.48    848547.67   1726251.15 
1990-1994   40-44      817924.29    800557.31   1618481.60 
1990-1994   45-49      611691.49    597564.40   1209255.89 
1990-1994   50-54      479407.62    453538.36    932945.97 
1990-1994   55-59      468290.91    429028.79    897319.70 
1990-1994   60-64      447416.98    381487.84    828904.82 
1990-1994   65-69      442525.51    358431.85    800957.36 
1990-1994   70-74      331954.00    281203.28    613157.29 
1990-1994   75-79      259321.42    202339.75    461661.17 
1990-1994   80-84      204354.47    152818.85    357173.31 
1990-1994   85-89       86133.32     64574.50    150707.83 
1990-1994   90-94       26682.15     18583.72     45265.86 
1990-1994   95-99        4620.89      3243.59      7864.49 
1990-1994  100-104        434.35       275.39       709.74 
1990-1994  105-109         10.27         4.51        14.78 
1990-1994  110+             0.00         0.00         0.00 
1995-1999      0       300651.58    317641.92    618293.50 
1995-1999    1-4      1146220.62   1207759.19   2353979.81 
1995-1999    5-9      1361275.99   1429155.38   2790431.36 
1995-1999   10-14     1318619.25   1389289.95   2707909.19 
