Japan, Exposure to risk (period 5x5)     Last modified: 26-Sep-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
1947-1949      0      3601005.79   3772075.88   7373081.67 
1947-1949    1-4     11214218.90  11566825.13  22781044.04 
1947-1949    5-9     13661086.55  13981990.52  27643077.07 
1947-1949   10-14    12922218.77  13182900.06  26105118.83 
1947-1949   15-19    12375753.80  12483827.58  24859581.38 
1947-1949   20-24    11178180.51  10424649.58  21602830.08 
1947-1949   25-29     9421629.66   7427598.54  16849228.20 
1947-1949   30-34     8252655.94   7023920.14  15276576.08 
1947-1949   35-39     7694887.04   6963607.40  14658494.44 
1947-1949   40-44     6352820.77   6315777.76  12668598.53 
1947-1949   45-49     5720210.70   5883682.69  11603893.39 
1947-1949   50-54     4707662.68   4873914.60   9581577.28 
1947-1949   55-59     3997587.71   3966993.79   7964581.50 
1947-1949   60-64     3392871.92   3069437.09   6462309.01 
1947-1949   65-69     2873190.53   2312779.25   5185969.78 
1947-1949   70-74     2078261.58   1501703.55   3579965.14 
1947-1949   75-79     1075530.45    682159.22   1757689.68 
1947-1949   80-84      489030.39    260187.35    749217.74 
1947-1949   85-89      130709.74     58741.75    189451.49 
1947-1949   90-94       27503.07     10667.44     38170.50 
1947-1949   95-99        2832.95      1122.95      3955.90 
1947-1949  100-104        181.17        67.50       248.68 
1947-1949  105-109         17.67         7.50        25.17 
1947-1949  110+            16.83         5.50        22.33 
1950-1954      0      5017777.36   5246992.60  10264769.96 
1950-1954    1-4     21594732.73  22501701.41  44096434.14 
1950-1954    5-9     23545191.42  24314480.07  47859671.49 
1950-1954   10-14    22174591.03  22703522.32  44878113.34 
1950-1954   15-19    21323845.67  21621253.62  42945099.29 
1950-1954   20-24    19916312.02  19791271.95  39707583.97 
1950-1954   25-29    17646099.93  15941142.86  33587242.79 
1950-1954   30-34    14848750.10  11991206.43  26839956.53 
1950-1954   35-39    13407376.20  11635563.49  25042939.69 
1950-1954   40-44    12104594.05  11197957.30  23302551.35 
1950-1954   45-49    10091869.29  10053798.81  20145668.09 
1950-1954   50-54     8830974.80   9005388.71  17836363.51 
1950-1954   55-59     7233899.77   7270057.24  14503957.01 
1950-1954   60-64     6072857.10   5724795.83  11797652.93 
1950-1954   65-69     4911751.18   4107088.29   9018839.47 
1950-1954   70-74     3802998.95   2787651.17   6590650.11 
1950-1954   75-79     2318317.92   1485189.70   3803507.62 
1950-1954   80-84      955149.28    518384.86   1473534.14 
1950-1954   85-89      313889.10    139824.75    453713.85 
1950-1954   90-94       55061.70     20114.31     75176.01 
1950-1954   95-99        6663.59      2114.10      8777.70 
1950-1954  100-104        399.33       175.50       574.83 
1950-1954  105-109         46.67         7.83        54.50 
1950-1954  110+             7.83         1.67         9.50 
1955-1959      0      3964933.69   4168710.42   8133644.11 
1955-1959    1-4     16947772.98  17725173.06  34672946.04 
1955-1959    5-9     26251313.90  27357420.33  53608734.23 
1955-1959   10-14    23497560.22  24212738.31  47710298.53 
1955-1959   15-19    22046439.39  22288176.32  44334615.71 
1955-1959   20-24    21045500.86  20945788.62  41991289.47 
1955-1959   25-29    19609487.32  19466620.64  39076107.96 
1955-1959   30-34    17426124.39  15827330.73  33253455.12 
1955-1959   35-39    14649259.45  11845967.40  26495226.84 
1955-1959   40-44    13168765.38  11414346.88  24583112.25 
1955-1959   45-49    11840867.58  10894383.26  22735250.84 
1955-1959   50-54     9775191.44   9624341.54  19399532.98 
1955-1959   55-59     8459450.36   8427066.71  16886517.08 
1955-1959   60-64     6739800.38   6499532.69  13239333.07 
1955-1959   65-69     5365269.85   4759245.23  10124515.08 
1955-1959   70-74     4033932.91   3075975.94   7109908.86 
1955-1959   75-79     2745341.19   1767891.94   4513233.13 
1955-1959   80-84     1338413.17    732643.38   2071056.54 
1955-1959   85-89      409783.16    184215.77    593998.94 
1955-1959   90-94       85703.58     30034.75    115738.33 
1955-1959   95-99        8166.78      2308.17     10474.95 
1955-1959  100-104        536.67       149.17       685.83 
1955-1959  105-109         30.50        19.17        49.67 
1955-1959  110+             9.67         0.00         9.67 
1960-1964      0      3902968.38   4105147.83   8008116.21 
1960-1964    1-4     15248890.15  15931552.28  31180442.43 
1960-1964    5-9     20799099.36  21666949.18  42466048.53 
1960-1964   10-14    26264224.17  27225707.39  53489931.55 
1960-1964   15-19    23283647.33  23604266.29  46887913.62 
1960-1964   20-24    21757187.13  21483720.56  43240907.69 
1960-1964   25-29    20764297.16  20622664.35  41386961.50 
1960-1964   30-34    19400221.52  19421707.36  38821928.88 
1960-1964   35-39    17230913.95  15704076.16  32934990.10 
1960-1964   40-44    14418025.06  11656558.69  26074583.75 
1960-1964   45-49    12901747.49  11123731.30  24025478.79 
1960-1964   50-54    11466499.54  10452086.75  21918586.29 
1960-1964   55-59     9362366.84   9031437.62  18393804.46 
1960-1964   60-64     7918665.83   7576393.32  15495059.14 
1960-1964   65-69     6039038.64   5471588.21  11510626.86 
1960-1964   70-74     4474610.89   3613268.79   8087879.68 
1960-1964   75-79     2937509.92   1968153.55   4905663.47 
1960-1964   80-84     1607548.40    872357.02   2479905.42 
1960-1964   85-89      577987.15    255756.02    833743.17 
1960-1964   90-94      112250.40     40337.45    152587.85 
1960-1964   95-99       12893.06      3452.07     16345.13 
1960-1964  100-104        574.45       151.00       725.44 
1960-1964  105-109         38.67         1.17        39.83 
1960-1964  110+             5.17         0.00         5.17 
1965-1969      0      4204637.43   4443033.89   8647671.32 
1965-1969    1-4     15920532.65  16650702.80  32571235.45 
1965-1969    5-9     19165990.27  19927427.18  39093417.45 
1965-1969   10-14    20839731.40  21566309.52  42406040.92 
1965-1969   15-19    26194992.43  26623269.39  52818261.82 
1965-1969   20-24    23105137.42  22892506.70  45997644.12 
1965-1969   25-29    21749705.04  21481982.68  43231687.72 
1965-1969   30-34    20732453.68  20805670.40  41538124.08 
1965-1969   35-39    19263530.43  19372020.73  38635551.16 
1965-1969   40-44    17010011.25  15495936.18  32505947.42 
1965-1969   45-49    14209468.05  11426274.48  25635742.54 
1965-1969   50-54    12547909.10  10715663.85  23263572.95 
1965-1969   55-59    11029678.13   9878514.72  20908192.85 
1965-1969   60-64     8827727.67   8198735.96  17026463.63 
1965-1969   65-69     7204841.76   6476200.47  13681042.23 
1965-1969   70-74     5144109.22   4244582.42   9388691.64 
1965-1969   75-79     3361099.38   2385807.74   5746907.12 
1965-1969   80-84     1799512.43   1015318.69   2814831.12 
1965-1969   85-89      712510.18    312637.61   1025147.79 
1965-1969   90-94      164632.61     58006.49    222639.11 
1965-1969   95-99       17820.16      5345.40     23165.56 
1965-1969  100-104        965.70       255.11      1220.81 
1965-1969  105-109         21.95         4.67        26.61 
1965-1969  110+             5.17         0.00         5.17 
1970-1974      0      4808795.26   5099131.33   9907926.59 
1970-1974    1-4     18070232.26  19045997.21  37116229.47 
1970-1974    5-9     20226083.42  21192941.94  41419025.36 
1970-1974   10-14    19276942.73  20094124.64  39371067.36 
1970-1974   15-19    20883264.28  21398325.11  42281589.38 
1970-1974   20-24    26161564.14  26191375.13  52352939.27 
1970-1974   25-29    23170625.39  23058311.97  46228937.37 
1970-1974   30-34    21798093.86  21735013.86  43533107.73 
1970-1974   35-39    20706536.00  20816585.29  41523121.29 
1970-1974   40-44    19098336.20  19157410.75  38255746.95 
1970-1974   45-49    16893033.04  15270551.28  32163584.32 
1970-1974   50-54    14011949.71  11123303.89  25135253.60 
1970-1974   55-59    12197243.68  10202454.42  22399698.10 
1970-1974   60-64    10622953.66   9125754.34  19748708.00 
1970-1974   65-69     8230332.07   7152239.97  15382572.04 
1970-1974   70-74     6355016.33   5179719.03  11534735.36 
1970-1974   75-79     4058152.97   2932070.72   6990223.69 
1970-1974   80-84     2172437.49   1304655.15   3477092.63 
1970-1974   85-89      856427.22    394741.29   1251168.51 
1970-1974   90-94      219375.91     76864.56    296240.47 
1970-1974   95-99       29473.96      8450.39     37924.35 
1970-1974  100-104       1746.92       551.16      2298.08 
1970-1974  105-109         53.67        21.62        75.29 
1970-1974  110+             5.82         0.00         5.82 
1975-1979      0      4360972.03   4610306.14   8971278.17 
1975-1979    1-4     18834664.26  19840199.17  38674863.43 
1975-1979    5-9     23054882.52  24280716.70  47335599.22 
1975-1979   10-14    20412038.58  21414693.37  41826731.95 
1975-1979   15-19    19435901.79  20164153.54  39600055.33 
1975-1979   20-24    20899861.95  21242358.78  42142220.73 
1975-1979   25-29    26226181.57  26484473.16  52710654.72 
1975-1979   30-34    23270476.42  23376945.42  46647421.85 
1975-1979   35-39    21845765.37  21828824.71  43674590.08 
1975-1979   40-44    20694857.69  20734284.82  41429142.51 
1975-1979   45-49    19102623.82  18962144.87  38064768.69 
1975-1979   50-54    16719289.61  14911605.67  31630895.28 
1975-1979   55-59    13757887.10  10696071.79  24453958.88 
1975-1979   60-64    11918723.13   9633804.24  21552527.37 
1975-1979   65-69    10089217.73   8194080.42  18283298.15 
1975-1979   70-74     7436884.96   5918521.01  13355405.97 
1975-1979   75-79     5207717.06   3756452.89   8964169.95 
1975-1979   80-84     2782023.00   1720260.43   4502283.42 
1975-1979   85-89     1100318.07    548573.52   1648891.59 
1975-1979   90-94      280801.86    105966.38    386768.24 
1975-1979   95-99       40265.64     11676.03     51941.67 
1975-1979  100-104       2820.60       604.62      3425.21 
1975-1979  105-109         89.33        26.17       115.50 
1975-1979  110+             1.67         5.33         7.00 
1980-1984      0      3724896.49   3929014.56   7653911.05 
1980-1984    1-4     15875271.25  16713464.92  32588736.17 
1980-1984    5-9     23205888.50  24414920.39  47620808.88 
1980-1984   10-14    23113455.15  24343938.06  47457393.21 
1980-1984   15-19    20440740.09  21370288.86  41811028.95 
1980-1984   20-24    19326063.24  19844115.36  39170178.61 
1980-1984   25-29    20841018.50  21147203.00  41988221.49 
1980-1984   30-34    26165017.74  26473131.65  52638149.39 
1980-1984   35-39    23206303.82  23262815.03  46469118.86 
1980-1984   40-44    21709342.42  21592629.50  43301971.92 
1980-1984   45-49    20507291.89  20340268.18  40847560.07 
1980-1984   50-54    18853563.76  18419838.63  37273402.40 
1980-1984   55-59    16406779.66  14331493.74  30738273.40 
1980-1984   60-64    13367698.24  10085183.28  23452881.52 
1980-1984   65-69    11334306.38   8735546.13  20069852.51 
1980-1984   70-74     9236903.50   6945966.68  16182870.18 
1980-1984   75-79     6274967.84   4447344.56  10722312.39 
1980-1984   80-84     3734706.51   2330436.85   6065143.36 
1980-1984   85-89     1542858.73    799735.81   2342594.54 
1980-1984   90-94      408063.64    168345.20    576408.84 
1980-1984   95-99       60415.18     19369.80     79784.98 
1980-1984  100-104       4606.09      1153.16      5759.25 
1980-1984  105-109        170.17        31.33       201.50 
1980-1984  110+             1.17         5.00         6.17 
1985-1989      0      3311811.73   3492269.79   6804081.52 
1985-1989    1-4     14098603.46  14816513.03  28915116.49 
1985-1989    5-9     19608635.91  20622229.01  40230864.91 
1985-1989   10-14    23230315.06  24449390.58  47679705.64 
1985-1989   15-19    23101422.50  24255131.19  47356553.70 
1985-1989   20-24    20271333.09  20957330.88  41228663.97 
1985-1989   25-29    19189959.28  19617229.12  38807188.41 
1985-1989   30-34    20804456.29  21137788.39  41942244.67 
1985-1989   35-39    26095671.14  26360254.13  52455925.27 
1985-1989   40-44    23085908.64  23070183.61  46156092.25 
1985-1989   45-49    21522492.55  21272311.76  42794804.30 
1985-1989   50-54    20261830.60  19839877.65  40101708.25 
1985-1989   55-59    18548049.43  17746460.35  36294509.77 
1985-1989   60-64    16018876.03  13600960.12  29619836.15 
1985-1989   65-69    12836046.03   9280213.07  22116259.09 
1985-1989   70-74    10549262.11   7592064.14  18141326.26 
1985-1989   75-79     8062181.29   5433139.01  13495320.30 
1985-1989   80-84     4713416.22   2892767.27   7606183.49 
1985-1989   85-89     2244690.54   1155517.82   3400208.36 
1985-1989   90-94      643564.44    272153.34    915717.79 
1985-1989   95-99      101553.94     34909.20    136463.15 
1985-1989  100-104       8351.07      2187.74     10538.82 
1985-1989  105-109        346.67        71.17       417.83 
1985-1989  110+             9.50         3.67        13.17 
1990-1994      0      2944144.94   3105567.64   6049712.58 
