New Zealand, Exposure to risk (period 5x5)     Last modified: 25-Nov-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
1948-1949      0        46833.97     49003.13     95837.10 
1948-1949    1-4       163993.91    170917.45    334911.36 
1948-1949    5-9       167581.13    172630.25    340211.38 
1948-1949   10-14      135024.23    139313.95    274338.18 
1948-1949   15-19      132437.45    137425.24    269862.68 
1948-1949   20-24      138651.27    142010.60    280661.87 
1948-1949   25-29      142305.51    137429.11    279734.62 
1948-1949   30-34      137550.05    135040.11    272590.15 
1948-1949   35-39      132131.16    135210.71    267341.87 
1948-1949   40-44      118840.47    124262.48    243102.95 
1948-1949   45-49      104503.20    108593.67    213096.86 
1948-1949   50-54       94095.43     88401.47    182496.90 
1948-1949   55-59       85128.56     80490.72    165619.28 
1948-1949   60-64       80232.80     78833.23    159066.03 
1948-1949   65-69       70492.53     68339.55    138832.08 
1948-1949   70-74       49946.67     46885.40     96832.06 
1948-1949   75-79       28741.01     25969.53     54710.53 
1948-1949   80-84       15802.95     12774.56     28577.51 
1948-1949   85-89        5832.64      4192.08     10024.71 
1948-1949   90-94        1560.33      1032.60      2592.93 
1948-1949   95-99         301.77       169.27       471.04 
1948-1949  100-104         63.59        24.87        88.47 
1948-1949  105-109         14.26         3.77        18.04 
1948-1949  110+             2.97         2.23         5.20 
1950-1954      0       121569.26    128004.70    249573.95 
1950-1954    1-4       463484.43    484491.98    947976.41 
1950-1954    5-9       486636.79    506524.72    993161.51 
1950-1954   10-14      400018.95    414472.38    814491.32 
1950-1954   15-19      334446.51    347132.83    681579.34 
1950-1954   20-24      341714.29    358170.10    699884.40 
1950-1954   25-29      362642.92    377044.40    739687.32 
1950-1954   30-34      357357.52    354879.47    712236.99 
1950-1954   35-39      347073.76    344983.42    692057.18 
1950-1954   40-44      325367.62    336167.37    661534.99 
1950-1954   45-49      283393.22    297723.41    581116.63 
1950-1954   50-54      250451.63    253014.93    503466.56 
1950-1954   55-59      220132.20    203830.61    423962.81 
1950-1954   60-64      202898.00    188752.65    391650.66 
1950-1954   65-69      182508.18    169686.93    352195.10 
1950-1954   70-74      143601.29    131053.08    274654.37 
1950-1954   75-79       86996.84     77187.72    164184.55 
1950-1954   80-84       47234.49     38546.64     85781.13 
1950-1954   85-89       17792.63     12704.43     30497.06 
1950-1954   90-94        4523.26      2902.53      7425.79 
1950-1954   95-99         806.00       482.19      1288.18 
1950-1954  100-104        120.90        48.38       169.28 
1950-1954  105-109         43.01        13.03        56.04 
1950-1954  110+             9.91         3.76        13.67 
1955-1959      0       138454.70    145335.53    283790.22 
1955-1959    1-4       512850.96    535334.50   1048185.46 
1955-1959    5-9       592980.55    618679.93   1211660.47 
1955-1959   10-14      495962.78    518607.48   1014570.26 
1955-1959   15-19      405580.14    421337.63    826917.77 
1955-1959   20-24      346166.24    361033.90    707200.14 
1955-1959   25-29      363231.16    390282.70    753513.87 
1955-1959   30-34      377812.43    400194.19    778006.63 
1955-1959   35-39      368171.30    366321.82    734493.12 
1955-1959   40-44      354588.83    353212.38    707801.21 
1955-1959   45-49      324813.37    336061.41    660874.78 
1955-1959   50-54      280020.89    292566.44    572587.33 
1955-1959   55-59      241437.97    239765.78    481203.75 
1955-1959   60-64      211062.27    187762.10    398824.38 
1955-1959   65-69      189099.14    162402.93    351502.07 
1955-1959   70-74      157133.64    134207.97    291341.61 
1955-1959   75-79      109740.70     91488.03    201228.73 
1955-1959   80-84       61086.80     47397.62    108484.42 
1955-1959   85-89       24013.53     16732.87     40746.40 
1955-1959   90-94        6312.93      3913.13     10226.07 
1955-1959   95-99        1009.72       550.15      1559.87 
1955-1959  100-104         88.04        68.84       156.88 
1955-1959  105-109         20.72         9.56        30.28 
1955-1959  110+            12.42         0.47        12.88 
1960-1964      0       153213.54    160247.69    313461.23 
1960-1964    1-4       584624.71    607252.00   1191876.71 
1960-1964    5-9       659936.14    688243.36   1348179.51 
1960-1964   10-14      603237.41    631627.05   1234864.47 
1960-1964   15-19      499298.56    521746.14   1021044.70 
1960-1964   20-24      410219.96    428147.97    838367.93 
1960-1964   25-29      363511.27    379609.63    743120.91 
1960-1964   30-34      376207.01    404254.31    780461.31 
1960-1964   35-39      385656.67    407855.81    793512.48 
1960-1964   40-44      375063.43    373909.35    748972.78 
1960-1964   45-49      351752.94    351098.77    702851.71 
1960-1964   50-54      320690.32    328943.10    649633.42 
1960-1964   55-59      270893.37    276858.54    547751.91 
1960-1964   60-64      231036.94    219622.32    450659.26 
1960-1964   65-69      197927.03    161541.23    359468.26 
1960-1964   70-74      165253.35    127917.50    293170.85 
1960-1964   75-79      122253.67     93232.68    215486.35 
1960-1964   80-84       76168.14     55110.65    131278.80 
1960-1964   85-89       30800.01     20146.03     50946.04 
1960-1964   90-94        8494.36      4937.28     13431.64 
1960-1964   95-99        1457.76       674.02      2131.78 
1960-1964  100-104        131.91        60.62       192.53 
1960-1964  105-109         17.18        12.11        29.29 
1960-1964  110+            12.46         1.95        14.41 
1965-1969      0       147352.74    154781.51    302134.25 
1965-1969    1-4       590789.24    617970.52   1208759.77 
1965-1969    5-9       747631.59    779221.37   1526852.96 
1965-1969   10-14      670000.09    701816.36   1371816.45 
1965-1969   15-19      602385.20    631342.57   1233727.77 
1965-1969   20-24      497303.91    513077.31   1010381.22 
1965-1969   25-29      425691.46    435698.78    861390.23 
1965-1969   30-34      373827.16    386592.91    760420.07 
1965-1969   35-39      385979.96    408979.97    794959.93 
1965-1969   40-44      393743.18    411496.97    805240.16 
1965-1969   45-49      372830.96    369051.06    741882.03 
1965-1969   50-54      349097.04    341617.19    690714.23 
1965-1969   55-59      310973.23    310938.29    621911.52 
1965-1969   60-64      261578.03    253998.48    515576.51 
1965-1969   65-69      218731.70    190854.54    409586.23 
1965-1969   70-74      173738.87    125482.71    299221.58 
1965-1969   75-79      128885.42     87532.90    216418.32 
1965-1969   80-84       84788.97     54486.42    139275.39 
1965-1969   85-89       39012.49     23159.08     62171.57 
1965-1969   90-94       10794.94      5640.17     16435.10 
1965-1969   95-99        1781.99       847.25      2629.24 
1965-1969  100-104        167.67        70.17       237.84 
1965-1969  105-109         22.48         9.57        32.04 
1965-1969  110+            16.42         6.42        22.84 
1970-1974      0       149633.77    156696.89    306330.67 
1970-1974    1-4       590204.16    614514.73   1204718.89 
1970-1974    5-9       745533.07    778045.88   1523578.95 
1970-1974   10-14      755688.60    787050.19   1542738.79 
1970-1974   15-19      665723.46    696473.77   1362197.23 
1970-1974   20-24      584979.17    606755.94   1191735.11 
1970-1974   25-29      508132.21    516455.28   1024587.49 
1970-1974   30-34      438187.25    447712.66    885899.92 
1970-1974   35-39      379266.47    390721.70    769988.18 
1970-1974   40-44      388819.18    409681.96    798501.14 
1970-1974   45-49      387508.66    402694.15    790202.82 
1970-1974   50-54      368029.45    359858.70    727888.15 
1970-1974   55-59      336649.83    321112.74    657762.56 
1970-1974   60-64      301215.89    284378.26    585594.14 
1970-1974   65-69      247560.75    220536.94    468097.69 
1970-1974   70-74      193376.83    149871.01    343247.84 
1970-1974   75-79      136324.61     85566.24    221890.84 
1970-1974   80-84       90738.03     50835.44    141573.48 
1970-1974   85-89       44402.11     23020.89     67423.00 
1970-1974   90-94       14139.62      6483.89     20623.51 
1970-1974   95-99        2417.75       965.96      3383.71 
1970-1974  100-104        216.29        61.99       278.29 
1970-1974  105-109         25.96         1.93        27.90 
1970-1974  110+            18.46         5.03        23.49 
1975-1979      0       131601.14    137452.10    269053.23 
1975-1979    1-4       561841.07    583232.39   1145073.47 
1975-1979    5-9       760449.12    791241.01   1551690.14 
1975-1979   10-14      764440.82    799444.00   1563884.83 
1975-1979   15-19      753938.97    787622.18   1541561.15 
1975-1979   20-24      638357.68    660916.73   1299274.42 
1975-1979   25-29      606399.49    607388.51   1213788.00 
1975-1979   30-34      527855.20    535788.37   1063643.57 
1975-1979   35-39      448376.83    458170.81    906547.64 
1975-1979   40-44      385052.51    395802.22    780854.73 
1975-1979   45-49      381912.17    403641.68    785553.85 
1975-1979   50-54      385847.33    395510.41    781357.74 
1975-1979   55-59      354339.75    338080.12    692419.88 
1975-1979   60-64      323581.90    298264.25    621846.15 
1975-1979   65-69      284688.56    250605.34    535293.90 
1975-1979   70-74      219380.29    175350.41    394730.70 
1975-1979   75-79      154180.38    103937.11    258117.48 
1975-1979   80-84       96770.60     49521.54    146292.14 
1975-1979   85-89       49843.30     21711.23     71554.53 
1975-1979   90-94       16995.71      6644.04     23639.75 
1975-1979   95-99        3331.03      1137.07      4468.10 
1975-1979  100-104        288.52        70.57       359.09 
1975-1979  105-109         19.41         0.00        19.41 
1975-1979  110+             3.01         0.00         3.01 
1980-1984      0       122672.36    128903.62    251575.99 
1980-1984    1-4       493653.29    514755.80   1008409.09 
1980-1984    5-9       679422.72    707634.94   1387057.66 
1980-1984   10-14      747615.99    779025.04   1526641.03 
1980-1984   15-19      745172.63    779085.23   1524257.86 
1980-1984   20-24      690613.64    717114.32   1407727.97 
1980-1984   25-29      626355.80    618470.49   1244826.29 
1980-1984   30-34      604008.95    597172.67   1201181.62 
1980-1984   35-39      518919.26    523663.97   1042583.22 
1980-1984   40-44      440242.08    441399.63    881641.71 
1980-1984   45-49      369341.09    382981.93    752323.02 
1980-1984   50-54      370310.25    388309.48    758619.73 
1980-1984   55-59      365663.31    366385.65    732048.96 
1980-1984   60-64      338982.59    311178.95    650161.55 
1980-1984   65-69      301791.13    259664.54    561455.67 
1980-1984   70-74      249688.61    198442.25    448130.86 
1980-1984   75-79      178563.36    122342.78    300906.14 
1980-1984   80-84      110575.16     60521.83    171096.98 
1980-1984   85-89       56368.12     22045.97     78414.09 
1980-1984   90-94       20964.93      6775.30     27740.23 
1980-1984   95-99        4545.26      1281.00      5826.25 
1980-1984  100-104        452.85        97.26       550.11 
1980-1984  105-109         27.33         0.00        27.33 
1980-1984  110+             2.50         0.00         2.50 
1985-1989      0       131935.58    138004.78    269940.36 
1985-1989    1-4       498311.61    522221.31   1020532.92 
1985-1989    5-9       617314.84    642905.50   1260220.34 
1985-1989   10-14      680561.84    709561.96   1390123.79 
1985-1989   15-19      741892.24    766357.19   1508249.43 
1985-1989   20-24      690742.77    706071.28   1396814.05 
1985-1989   25-29      693538.82    681056.13   1374594.95 
1985-1989   30-34      648006.22    629152.18   1277158.40 
1985-1989   35-39      599962.05    598286.77   1198248.81 
1985-1989   40-44      513757.07    510979.50   1024736.57 
1985-1989   45-49      428122.67    440451.99    868574.67 
1985-1989   50-54      364861.44    369285.78    734147.22 
1985-1989   55-59      361348.60    367891.98    729240.58 
1985-1989   60-64      353681.76    342528.03    696209.79 
1985-1989   65-69      316519.77    269713.57    586233.34 
1985-1989   70-74      269224.57    209853.91    479078.47 
1985-1989   75-79      207182.69    142815.50    349998.19 
1985-1989   80-84      129999.15     73046.62    203045.77 
1985-1989   85-89       64776.49     27861.32     92637.82 
1985-1989   90-94       23981.12      6960.64     30941.76 
1985-1989   95-99        5602.10      1328.13      6930.23 
1985-1989  100-104        726.59       122.00       848.59 
1985-1989  105-109         50.18         4.26        54.45 
1985-1989  110+             0.33         0.00         0.33 
1990-1994      0       142823.80    151237.77    294061.56 
1990-1994    1-4       561328.11    589668.72   1150996.83 
1990-1994    5-9       643176.42    675596.27   1318772.69 
1990-1994   10-14      634992.59    664411.90   1299404.49 
1990-1994   15-19      695674.82    706837.75   1402512.57 
1990-1994   20-24      718965.74    714950.74   1433916.47 
1990-1994   25-29      710010.70    683693.49   1393704.18 
1990-1994   30-34      734503.85    707458.76   1441962.60 
1990-1994   35-39      659906.04    643701.55   1303607.59 
1990-1994   40-44      611282.38    606044.74   1217327.12 
1990-1994   45-49      517153.59    518764.54   1035918.13 
1990-1994   50-54      431683.01    431453.56    863136.57 
1990-1994   55-59      364426.94    363722.05    728148.99 
1990-1994   60-64      357814.68    357830.90    715645.58 
1990-1994   65-69      341461.16    315180.30    656641.46 
1990-1994   70-74      294281.89    232312.78    526594.67 
1990-1994   75-79      232843.96    159359.84    392203.80 
1990-1994   80-84      155713.41     88261.48    243974.89 
1990-1994   85-89       80598.69     36095.97    116694.66 
1990-1994   90-94       28943.17      9798.73     38741.89 
1990-1994   95-99        6859.98      1476.73      8336.71 
1990-1994  100-104        921.13       152.06      1073.19 
1990-1994  105-109         70.01        14.79        84.80 
1990-1994  110+             0.00         0.83         0.83 
1995-1999      0       138741.44    146947.45    285688.89 
1995-1999    1-4       568830.15    604529.82   1173359.97 
1995-1999    5-9       727361.15    766381.24   1493742.38 
1995-1999   10-14      669440.27    705554.23   1374994.50 
1995-1999   15-19      663953.27    689523.67   1353476.94 
1995-1999   20-24      681560.15    682299.15   1363859.30 
1995-1999   25-29      722490.79    687154.82   1409645.61 
1995-1999   30-34      766574.06    726824.96   1493399.02 
1995-1999   35-39      769953.53    739507.36   1509460.88 
1995-1999   40-44      685984.38    668739.02   1354723.40 
1995-1999   45-49      623906.68    622125.30   1246031.98 
1995-1999   50-54      517617.34    518980.66   1036598.00 
1995-1999   55-59      427287.59    422927.32    850214.91 
1995-1999   60-64      356035.80    349101.25    705137.05 
1995-1999   65-69      341227.25    327633.45    668860.70 
1995-1999   70-74      313739.30    269443.75    583183.05 
1995-1999   75-79      254506.51    180018.97    434525.48 
1995-1999   80-84      176624.43    101661.60    278286.03 
1995-1999   85-89       99160.90     44529.30    143690.20 
1995-1999   90-94       37426.07     12809.77     50235.84 
1995-1999   95-99        8432.83      2058.67     10491.50 
1995-1999  100-104       1170.17       139.67      1309.83 
1995-1999  105-109         73.67         7.00        80.67 
1995-1999  110+             0.17         0.00         0.17 
2000-2004      0       137407.74    143722.95    281130.70 
2000-2004    1-4       551783.39    579842.56   1131625.94 
2000-2004    5-9       718745.65    762006.54   1480752.19 
2000-2004   10-14      745830.21    782479.33   1528309.54 
2000-2004   15-19      704325.51    730373.09   1434698.60 
2000-2004   20-24      666860.64    673518.97   1340379.61 
2000-2004   25-29      662368.58    625941.74   1288310.33 
2000-2004   30-34      768524.15    704962.74   1473486.89 
2000-2004   35-39      794937.93    742816.29   1537754.22 
2000-2004   40-44      785953.58    746976.14   1532929.72 
2000-2004   45-49      688058.44    667744.53   1355802.97 
2000-2004   50-54      618336.57    610713.92   1229050.49 
2000-2004   55-59      513034.52    505877.15   1018911.67 
2000-2004   60-64      422076.12    409346.02    831422.14 
2000-2004   65-69      344914.38    327396.22    672310.59 
2000-2004   70-74      315260.29    286087.09    601347.38 
2000-2004   75-79      273911.55    215593.45    489505.00 
2000-2004   80-84      197123.76    120079.33    317203.10 
2000-2004   85-89      115533.10     54502.10    170035.19 
2000-2004   90-94       47198.90     16040.30     63239.19 
2000-2004   95-99       11077.90      2702.44     13780.34 
2000-2004  100-104       1301.33       211.83      1513.17 
2000-2004  105-109         74.50         1.83        76.33 
2000-2004  110+             2.33         0.00         2.33 
2005-2009      0       149795.66    157832.40    307628.06 
2005-2009    1-4       569064.95    597094.09   1166159.04 
2005-2009    5-9       712241.46    746771.08   1459012.54 
2005-2009   10-14      748077.42    788276.45   1536353.87 
2005-2009   15-19      773371.75    795245.07   1568616.82 
2005-2009   20-24      723675.16    727269.34   1450944.51 
2005-2009   25-29      676818.22    644933.57   1321751.79 
2005-2009   30-34      731814.14    667583.76   1399397.90 
2005-2009   35-39      816126.42    742842.15   1558968.57 
2005-2009   40-44      825042.70    768811.07   1593853.78 
2005-2009   45-49      798428.83    758211.07   1556639.90 
2005-2009   50-54      688011.65    665199.83   1353211.48 
2005-2009   55-59      614751.17    598992.37   1213743.54 
2005-2009   60-64      508524.29    493103.37   1001627.67 
2005-2009   65-69      411361.00    390178.98    801539.98 
2005-2009   70-74      322765.18    295239.83    618005.02 
2005-2009   75-79      279304.97    237671.23    516976.20 
2005-2009   80-84      219351.97    155294.23    374646.20 
2005-2009   85-89      132736.38     68719.36    201455.74 
2005-2009   90-94       55373.93     20948.43     76322.36 
2005-2009   95-99       13469.23      3636.30     17105.53 
2005-2009  100-104       1647.24       297.27      1944.51 
2005-2009  105-109         79.83        10.67        90.50 
2005-2009  110+             2.33         0.00         2.33 
2010-2013      0       121137.91    127291.76    248429.66 
2010-2013    1-4       490560.70    518077.16   1008637.86 
2010-2013    5-9       574985.08    602490.41   1177475.49 
2010-2013   10-14      585416.82    616502.78   1201919.61 
2010-2013   15-19      615860.70    641351.13   1257211.83 
2010-2013   20-24      612126.43    621350.19   1233476.62 
2010-2013   25-29      565124.76    539564.14   1104688.90 
2010-2013   30-34      562545.49    514690.64   1077236.13 
2010-2013   35-39      609266.58    550939.45   1160206.03 
2010-2013   40-44      662418.22    601884.44   1264302.66 
2010-2013   45-49      658362.64    613342.08   1271704.72 
2010-2013   50-54      622961.95    588592.38   1211554.33 
2010-2013   55-59      537099.45    512461.42   1049560.87 
2010-2013   60-64      483219.40    465330.16    948549.56 
2010-2013   65-69      386051.34    368682.92    754734.26 
2010-2013   70-74      303932.33    280117.21    584049.54 
2010-2013   75-79      227236.93    197615.09    424852.02 
2010-2013   80-84      182635.41    141509.93    324145.34 
2010-2013   85-89      119314.06     72828.93    192142.99 
2010-2013   90-94       51738.86     21992.83     73731.69 
2010-2013   95-99       12939.04      4099.42     17038.46 
2010-2013  100-104       1489.65       332.30      1821.96 
2010-2013  105-109         89.04         9.58        98.62 
2010-2013  110+             0.17         0.00         0.17 
