Code,Year,Age,   ASFR
    AUS,1970,14,0.00023
    AUS,1970,15,0.00233
    AUS,1970,16,0.01197
    AUS,1970,17,0.03278
    AUS,1970,18,0.06253
    AUS,1970,19,0.09205
    AUS,1970,20,0.116
    AUS,1970,21,0.13992
    AUS,1970,22,0.16575
    AUS,1970,23,0.18478
    AUS,1970,24,0.20312
    AUS,1970,25,0.21342
    AUS,1970,26,0.20903
    AUS,1970,27,0.20122
    AUS,1970,28,0.18481
    AUS,1970,29,0.1635
    AUS,1970,30,0.14719
    AUS,1970,31,0.12614
    AUS,1970,32,0.10482
    AUS,1970,33,0.09022
    AUS,1970,34,0.07817
    AUS,1970,35,0.0679
    AUS,1970,36,0.0577
    AUS,1970,37,0.04814
    AUS,1970,38,0.04026
    AUS,1970,39,0.0335
    AUS,1970,40,0.02566
    AUS,1970,41,0.01858
    AUS,1970,42,0.01317
    AUS,1970,43,0.00896
    AUS,1970,44,0.00548
    AUS,1970,45,0.00301
    AUS,1970,46,0.0016
    AUS,1970,47,0.00075
    AUS,1970,48,0.00029
    AUS,1970,49,0.00009
    AUS,1970,50,0.00004
    AUS,1971,14,0.00026
    AUS,1971,15,0.00266
    AUS,1971,16,0.01355
    AUS,1971,17,0.03659
    AUS,1971,18,0.0682
    AUS,1971,19,0.09803
    AUS,1971,20,0.12384
    AUS,1971,21,0.14568
    AUS,1971,22,0.16788
    AUS,1971,23,0.19088
    AUS,1971,24,0.20303
    AUS,1971,25,0.20928
    AUS,1971,26,0.20912
    AUS,1971,27,0.19692
    AUS,1971,28,0.18156
    AUS,1971,29,0.16346
    AUS,1971,30,0.14297
    AUS,1971,31,0.12312
    AUS,1971,32,0.10509
    AUS,1971,33,0.08962
    AUS,1971,34,0.07559
    AUS,1971,35,0.0637
    AUS,1971,36,0.05502
    AUS,1971,37,0.04686
    AUS,1971,38,0.03802
    AUS,1971,39,0.0305
    AUS,1971,40,0.0238
    AUS,1971,41,0.0178
    AUS,1971,42,0.01275
    AUS,1971,43,0.00808
    AUS,1971,44,0.00484
    AUS,1971,45,0.00281
    AUS,1971,46,0.00152
    AUS,1971,47,0.00076
    AUS,1971,48,0.00031
    AUS,1971,49,0.00011
    AUS,1971,50,0.00004
    AUS,1972,14,0.00028
    AUS,1972,15,0.00293
    AUS,1972,16,0.01494
    AUS,1972,17,0.03866
    AUS,1972,18,0.06782
    AUS,1972,19,0.09172
    AUS,1972,20,0.11327
    AUS,1972,21,0.13619
    AUS,1972,22,0.1572
    AUS,1972,23,0.17573
    AUS,1972,24,0.1898
    AUS,1972,25,0.19459
    AUS,1972,26,0.1949
    AUS,1972,27,0.18708
    AUS,1972,28,0.16928
    AUS,1972,29,0.15177
    AUS,1972,30,0.13383
    AUS,1972,31,0.11259
    AUS,1972,32,0.09617
    AUS,1972,33,0.08267
    AUS,1972,34,0.06843
    AUS,1972,35,0.05773
    AUS,1972,36,0.04821
    AUS,1972,37,0.04024
    AUS,1972,38,0.03434
    AUS,1972,39,0.0272
    AUS,1972,40,0.02025
    AUS,1972,41,0.01527
    AUS,1972,42,0.01135
    AUS,1972,43,0.00801
    AUS,1972,44,0.00438
    AUS,1972,45,0.00248
    AUS,1972,46,0.00147
    AUS,1972,47,0.00072
    AUS,1972,48,0.0003
    AUS,1972,49,0.00014
    AUS,1972,50,0.00006
    AUS,1973,14,0.00029
    AUS,1973,15,0.00301
    AUS,1973,16,0.01465
    AUS,1973,17,0.0355
    AUS,1973,18,0.06024
    AUS,1973,19,0.08165
    AUS,1973,20,0.10072
    AUS,1973,21,0.12177
    AUS,1973,22,0.14472
    AUS,1973,23,0.16424
    AUS,1973,24,0.17791
    AUS,1973,25,0.18311
    AUS,1973,26,0.17848
    AUS,1973,27,0.16971
    AUS,1973,28,0.15717
    AUS,1973,29,0.1392
    AUS,1973,30,0.121
    AUS,1973,31,0.10237
    AUS,1973,32,0.08562
    AUS,1973,33,0.07248
    AUS,1973,34,0.06062
    AUS,1973,35,0.05066
    AUS,1973,36,0.04204
    AUS,1973,37,0.03449
    AUS,1973,38,0.02836
    AUS,1973,39,0.02323
    AUS,1973,40,0.01818
    AUS,1973,41,0.01315
    AUS,1973,42,0.00918
    AUS,1973,43,0.00642
    AUS,1973,44,0.00378
    AUS,1973,45,0.00214
    AUS,1973,46,0.0011
    AUS,1973,47,0.00054
    AUS,1973,48,0.0003
    AUS,1973,49,0.00014
    AUS,1973,50,0.00006
    AUS,1974,14,0.00028
    AUS,1974,15,0.00283
    AUS,1974,16,0.01347
    AUS,1974,17,0.03246
    AUS,1974,18,0.05503
    AUS,1974,19,0.07604
    AUS,1974,20,0.09593
    AUS,1974,21,0.11568
    AUS,1974,22,0.13783
    AUS,1974,23,0.15942
    AUS,1974,24,0.17334
    AUS,1974,25,0.17862
    AUS,1974,26,0.17654
    AUS,1974,27,0.1663
    AUS,1974,28,0.15461
    AUS,1974,29,0.13968
    AUS,1974,30,0.11973
    AUS,1974,31,0.09927
    AUS,1974,32,0.0815
    AUS,1974,33,0.06848
    AUS,1974,34,0.05676
    AUS,1974,35,0.04677
    AUS,1974,36,0.03816
    AUS,1974,37,0.03076
    AUS,1974,38,0.025
    AUS,1974,39,0.02017
    AUS,1974,40,0.0156
    AUS,1974,41,0.01165
    AUS,1974,42,0.00843
    AUS,1974,43,0.00554
    AUS,1974,44,0.00314
    AUS,1974,45,0.00172
    AUS,1974,46,0.00092
    AUS,1974,47,0.00047
    AUS,1974,48,0.00018
    AUS,1974,49,0.00006
    AUS,1974,50,0.00002
    AUS,1975,14,0.00034
    AUS,1975,15,0.00316
    AUS,1975,16,0.0131
    AUS,1975,17,0.02835
    AUS,1975,18,0.04895
    AUS,1975,19,0.0702
    AUS,1975,20,0.08995
    AUS,1975,21,0.1087
    AUS,1975,22,0.1257
    AUS,1975,23,0.1435
    AUS,1975,24,0.1594
    AUS,1975,25,0.168
    AUS,1975,26,0.168
    AUS,1975,27,0.15855
    AUS,1975,28,0.1431
    AUS,1975,29,0.12945
    AUS,1975,30,0.1147
    AUS,1975,31,0.0945
    AUS,1975,32,0.0779
    AUS,1975,33,0.0648
    AUS,1975,34,0.0521
    AUS,1975,35,0.043
    AUS,1975,36,0.0349
    AUS,1975,37,0.02745
    AUS,1975,38,0.0221
    AUS,1975,39,0.0175
    AUS,1975,40,0.01345
    AUS,1975,41,0.0099
    AUS,1975,42,0.0068
    AUS,1975,43,0.00465
    AUS,1975,44,0.00285
    AUS,1975,45,0.0014
    AUS,1975,46,0.0007
    AUS,1975,47,0.00035
    AUS,1975,48,0.00015
    AUS,1975,49,0.00009
    AUS,1975,50,0.00005
    AUS,1976,14,0.00034
    AUS,1976,15,0.00296
    AUS,1976,16,0.01125
    AUS,1976,17,0.0241
    AUS,1976,18,0.0421
    AUS,1976,19,0.06235
    AUS,1976,20,0.0833
    AUS,1976,21,0.1028
    AUS,1976,22,0.12085
    AUS,1976,23,0.1378
    AUS,1976,24,0.153
    AUS,1976,25,0.16315
    AUS,1976,26,0.16425
    AUS,1976,27,0.1572
    AUS,1976,28,0.1438
    AUS,1976,29,0.12635
    AUS,1976,30,0.11055
    AUS,1976,31,0.0946
    AUS,1976,32,0.0766
    AUS,1976,33,0.06175
    AUS,1976,34,0.0499
    AUS,1976,35,0.04045
    AUS,1976,36,0.03235
    AUS,1976,37,0.0262
    AUS,1976,38,0.0207
    AUS,1976,39,0.0152
    AUS,1976,40,0.01145
    AUS,1976,41,0.00835
    AUS,1976,42,0.0061
    AUS,1976,43,0.0043
    AUS,1976,44,0.0026
    AUS,1976,45,0.00155
    AUS,1976,46,0.0008
    AUS,1976,47,0.0003
    AUS,1976,48,0.0002
    AUS,1976,49,0.0001
    AUS,1976,50,0.00005
    AUS,1977,14,0.00029
    AUS,1977,15,0.00256
    AUS,1977,16,0.01
    AUS,1977,17,0.02215
    AUS,1977,18,0.03815
    AUS,1977,19,0.05645
    AUS,1977,20,0.0763
    AUS,1977,21,0.09635
    AUS,1977,22,0.11455
    AUS,1977,23,0.1324
    AUS,1977,24,0.1478
    AUS,1977,25,0.15665
    AUS,1977,26,0.15955
    AUS,1977,27,0.15505
    AUS,1977,28,0.14465
    AUS,1977,29,0.1291
    AUS,1977,30,0.1105
    AUS,1977,31,0.0936
    AUS,1977,32,0.0784
    AUS,1977,33,0.06325
    AUS,1977,34,0.0514
    AUS,1977,35,0.04095
    AUS,1977,36,0.0321
    AUS,1977,37,0.02595
    AUS,1977,38,0.02035
    AUS,1977,39,0.01565
    AUS,1977,40,0.0112
    AUS,1977,41,0.0076
    AUS,1977,42,0.00555
    AUS,1977,43,0.00395
    AUS,1977,44,0.0022
    AUS,1977,45,0.00115
    AUS,1977,46,0.00065
    AUS,1977,47,0.0003
    AUS,1977,48,0.0001
    AUS,1977,49,0.00008
    AUS,1977,50,0.00007
    AUS,1978,14,0.00028
    AUS,1978,15,0.00246
    AUS,1978,16,0.0092
