Country,Year,debtassets
Australia,1970,1375.413126
Australia,1971,1364.488063
Australia,1972,1499.309637
Australia,1973,1334.772471
Australia,1974,1868.342129
Australia,1975,1914.310134
Australia,1976,1835.441048
Australia,1977,2303.298457
Australia,1978,2622.745794
Australia,1979,3636.095002
Australia,1980,4223.816381
Australia,1981,3774.980457
Australia,1982,3791.556128
Australia,1983,3764.168687
Australia,1984,5016.245762
Australia,1985,6464.527157
Australia,1986,7526.2008
Australia,1987,11004.3975
Australia,1988,16994.5075
Australia,1989,18192.465
Australia,1990,21097.1706
Australia,1991,22935.3228
Australia,1992,23269.8598
Australia,1993,26138.7684
Australia,1994,28053.35448
Australia,1995,33098.115
Australia,1996,41645.80371
Australia,1997,46181.13651
Australia,1998,48065.91518
Australia,1999,56233.9918
Australia,2000,58248.114
Australia,2001,58008.2448
Australia,2002,72792.3706
Australia,2003,99926.25
Australia,2004,127040.099
Australia,2005,138969.3833
Australia,2006,193725.2747
Australia,2007,255587.3008
Australia,2008,245008.72
Australia,2009,344435.6101
Australia,2010,407591.1802
Australia,2011,433876.5072
Austria,1970,1443.539737
Austria,1971,1858.732969
Austria,1972,2548.592647
Austria,1973,4097.296928
Austria,1974,5251.27059
Austria,1975,6193.541959
Austria,1976,10559.90023
Austria,1977,13626.26188
Austria,1978,18021.49535
Austria,1979,24789.13478
Austria,1980,27231.73
Austria,1981,27546.05
Austria,1982,29441.24
Austria,1983,29936.97
Austria,1984,30485.45
Austria,1985,44068.29
Austria,1986,56243.62
Austria,1987,69804.45
Austria,1988,65563.07
Austria,1989,71773.17
Austria,1990,83094.5
Austria,1991,84030.31
Austria,1992,88127.53
Austria,1993,88487.19
Austria,1994,99772.09
Austria,1995,116574.15
Austria,1996,116578.42
Austria,1997,117402.2
Austria,1998,132481.69
Austria,1999,157599.03
Austria,2000,174967.1258
Austria,2001,191173.7201
Austria,2002,247000.3823
Austria,2003,327260.9147
Austria,2004,409582.1144
Austria,2005,428661.9719
Austria,2006,563989.9799
Austria,2007,689819.8601
Austria,2008,680512.4925
Austria,2009,704484.0841
Austria,2010,633535.1784
Austria,2011,631640.5752
Belgium,1970,7709.137647
Belgium,1971,9731.012705
Belgium,1972,12402.28893
Belgium,1973,16959.01139
Belgium,1974,23908.6953
Belgium,1975,24498.97731
Belgium,1976,30589.15967
Belgium,1977,39379.72307
Belgium,1978,53644.7201
Belgium,1979,66335.3286
Belgium,1980,79739.91456
Belgium,1981,88871.55
Belgium,1982,90153.45
Belgium,1983,89845.44
Belgium,1984,96353.83
Belgium,1985,126052.46
Belgium,1986,166740.9
Belgium,1987,217117.82
Belgium,1988,214031.34
Belgium,1989,246252.75
Belgium,1990,302267.44
Belgium,1991,315382.18
Belgium,1992,318866.82
Belgium,1993,324619.27
Belgium,1994,380651.8
Belgium,1995,433460.5
Belgium,1996,433144.7
Belgium,1997,425554.7
Belgium,1998,450961.8
Belgium,1999,468771.5
Belgium,2000,436784.144
Belgium,2001,459931.9627
Belgium,2002,575445.8101
Belgium,2003,768175.545
Belgium,2004,943412.2536
Belgium,2005,959219.9685
Belgium,2006,1138815.168
