Country,Year,debtliab
Australia,1970,4346.970847
Australia,1971,4384.118541
Australia,1972,4607.183328
Australia,1973,4619.312217
Australia,1974,5469.109631
Australia,1975,5491.393626
Australia,1976,6969.018331
Australia,1977,9165.398732
Australia,1978,12058.5303
Australia,1979,13964.56888
Australia,1980,14733.69651
Australia,1981,18685.99316
Australia,1982,28146.28138
Australia,1983,31927.98376
Australia,1984,39733.07503
Australia,1985,49661.59503
Australia,1986,65160.89205
Australia,1987,81086.13546
Australia,1988,109274.726
Australia,1989,120630.7079
Australia,1990,132383.5469
Australia,1991,142171.4966
Australia,1992,139878.0724
Australia,1993,146609.0775
Australia,1994,161325.8198
Australia,1995,173734
Australia,1996,203956.592
Australia,1997,190626.9122
Australia,1998,193361.9278
Australia,1999,221765.691
Australia,2000,223342.33
Australia,2001,223769.9394
Australia,2002,270161.7638
Australia,2003,375741
Australia,2004,450013.499
Australia,2005,486594.9759
Australia,2006,614643.0663
Australia,2007,743209.9584
Australia,2008,694907.5951
Australia,2009,911267.5034
Australia,2010,1026314.642
Australia,2011,1127582.891
Austria,1970,2887.990169
Austria,1971,3542.211413
Austria,1972,4446.475686
Austria,1973,5827.888037
Austria,1974,7741.738782
Austria,1975,9535.003232
Austria,1976,14435.44925
Austria,1977,19588.4029
Austria,1978,26258.89873
Austria,1979,33279.65222
Austria,1980,40454.84
Austria,1981,42474.54
Austria,1982,39609.34
Austria,1983,33427.12
Austria,1984,38898.96
Austria,1985,54577.55
Austria,1986,69226.84
Austria,1987,86613.33
Austria,1988,82109.03
Austria,1989,88853.16
Austria,1990,102753.58
Austria,1991,109738.98
Austria,1992,114100.76
Austria,1993,118611.55
Austria,1994,136794.61
Austria,1995,165136.8
Austria,1996,161840.42
Austria,1997,163550.38
Austria,1998,197087.32
Austria,1999,224257.26
Austria,2000,248184.5419
Austria,2001,265121.563
Austria,2002,318910.0103
Austria,2003,400077.1276
Austria,2004,485396.1341
Austria,2005,499956.5706
Austria,2006,633598.7044
Austria,2007,762257.8463
Austria,2008,780573.5499
Austria,2009,768591.3116
Austria,2010,726310.456
Austria,2011,740477.2503
Belgium,1970,7759.559529
Belgium,1971,8982.034226
Belgium,1972,10678.40984
Belgium,1973,15121.58367
Belgium,1974,21283.70916
Belgium,1975,22123.90605
Belgium,1976,26793.53635
Belgium,1977,35966.81099
Belgium,1978,50409.8483
Belgium,1979,65874.83363
Belgium,1980,82787.94972
Belgium,1981,95943.84
Belgium,1982,97250.63
Belgium,1983,99101.37
Belgium,1984,107260.62
