Country,Year,Debt assets (stock),Debt liabilities (stock)
Australia,1970,1375.413126,4346.970847
Australia,1971,1364.488063,4384.118541
Australia,1972,1499.309637,4607.183328
Australia,1973,1334.772471,4619.312217
Australia,1974,1868.342129,5469.109631
Australia,1975,1914.310134,5491.393626
Australia,1976,1835.441048,6969.018331
Australia,1977,2303.298457,9165.398732
Australia,1978,2622.745794,12058.5303
Australia,1979,3636.095002,13964.56888
Australia,1980,4223.816381,14733.69651
Australia,1981,3774.980457,18685.99316
Australia,1982,3791.556128,28146.28138
Australia,1983,3764.168687,31927.98376
Australia,1984,5016.245762,39733.07503
Australia,1985,6464.527157,49661.59503
Australia,1986,7526.2008,65160.89205
Australia,1987,11004.3975,81086.13546
Australia,1988,16994.5075,109274.726
Australia,1989,18192.465,120630.7079
Australia,1990,21097.1706,132383.5469
Australia,1991,22935.3228,142171.4966
Australia,1992,23269.8598,139878.0724
Australia,1993,26138.7684,146609.0775
Australia,1994,28053.35448,161325.8198
Australia,1995,33098.115,173734
Australia,1996,41645.80371,203956.592
Australia,1997,46181.13651,190626.9122
Australia,1998,48065.91518,193361.9278
Australia,1999,56233.9918,221765.691
Australia,2000,58248.114,223342.33
Australia,2001,58008.2448,223769.9394
Australia,2002,72792.3706,270161.7638
Australia,2003,99926.25,375741
Australia,2004,127040.099,450013.499
Australia,2005,138969.3833,486594.9759
Australia,2006,193725.2747,614643.0663
Australia,2007,255587.3008,743209.9584
Australia,2008,245008.72,694907.5951
Australia,2009,344435.6101,911267.5034
Australia,2010,407591.1802,1026314.642
Australia,2011,433876.5072,1127582.891
Austria,1970,1443.539737,2887.990169
Austria,1971,1858.732969,3542.211413
Austria,1972,2548.592647,4446.475686
Austria,1973,4097.296928,5827.888037
Austria,1974,5251.27059,7741.738782
Austria,1975,6193.541959,9535.003232
Austria,1976,10559.90023,14435.44925
Austria,1977,13626.26188,19588.4029
Austria,1978,18021.49535,26258.89873
Austria,1979,24789.13478,33279.65222
Austria,1980,27231.73,40454.84
Austria,1981,27546.05,42474.54
