Country,Year,porteqassets,porteqliab,fdiassets,fdiliab,debtassets,debtliab,finderassets,finderliab,reservesmingold,totassets,totliab,nfa,offiip, nfaalt , gdpdollar , nfa_gdp , ca , capacc , portdebtassets , portdebtliab , otherinvassets , otherinvliab , otherfdiassets , otherfdiliab , fxave , fxeop ,1
Australia,1970,97,"3,072","1,941","7,696","1,375","4,347",0,0,"1,454","4,867","15,115","-10,248",n.a.,n.a.,"43,090",-23.80%,-903,85,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.89286,0.89686,131
Australia,1971,100,"3,808","2,405","8,777","1,364","4,384",0,0,"3,034","6,904","16,969","-10,065",n.a.,n.a.,"48,183",-20.90%,-907,58,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.88267,0.83963,132
Australia,1972,127,"5,255","3,079","11,186","1,499","4,607",0,0,"5,860","10,564","21,048","-10,484",n.a.,n.a.,"55,266",-19.00%,405,58,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.8387,0.78431,133
Australia,1973,128,"4,016","2,870","10,241","1,335","4,619",0,0,"5,386","9,719","18,877","-9,157",n.a.,n.a.,"78,090",-11.70%,358,33,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.7035,0.67204,134
Australia,1974,103,"2,005","2,351","8,895","1,868","5,469",0,0,"3,953","8,276","16,370","-8,094",n.a.,n.a.,"94,292",-8.60%,"-2,847",8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.69667,0.75358,135
Australia,1975,128,"3,384","3,254","11,156","1,914","5,491",0,0,"2,955","8,250","20,031","-11,781",n.a.,n.a.,"100,124",-11.80%,"-1,058",-49,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.76387,0.79548,136
Australia,1976,151,"2,807","3,986","11,338","1,835","6,969",0,0,"2,870","8,842","21,115","-12,273",n.a.,n.a.,"110,399",-11.10%,"-1,941",-9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.81828,0.92047,137
Australia,1977,154,"2,917","4,258","12,984","2,303","9,165",0,0,"2,058","8,773","25,066","-16,293",n.a.,n.a.,"111,240",-14.60%,"-3,082",8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.90182,0.87612,138
Australia,1978,184,"3,427","5,141","15,989","2,623","12,059",0,0,"2,062","10,010","31,474","-21,464",n.a.,n.a.,"127,087",-16.90%,"-4,617",37,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.87366,0.86919,139
Australia,1979,200,"5,136","5,972","21,774","3,636","13,965",0,0,"1,424","11,233","40,874","-29,642",n.a.,n.a.,"141,441",-21.00%,"-2,738",72,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.89464,0.90457,140
