Country,Year, nfa_gdp ,
Australia,1970,-0.238,
Australia,1971,-0.209,
Australia,1972,-0.19,
Australia,1973,-0.117,
Australia,1974,-0.086,
Australia,1975,-0.118,
Australia,1976,-0.111,
Australia,1977,-0.146,
Australia,1978,-0.169,
Australia,1979,-0.21,
Australia,1980,-0.266,
Australia,1981,-0.237,
Australia,1982,-0.23,
Australia,1983,-0.31,
Australia,1984,-0.272,
Australia,1985,-0.355,
Australia,1986,-0.421,
Australia,1987,-0.435,
Australia,1988,-0.441,
Australia,1989,-0.434,
Australia,1990,-0.448,
Australia,1991,-0.475,
Australia,1992,-0.467,
Australia,1993,-0.538,
Australia,1994,-0.544,
Australia,1995,-0.536,
Australia,1996,-0.536,
Australia,1997,-0.435,
Australia,1998,-0.51,
Australia,1999,-0.528,
Australia,2000,-0.491,
Australia,2001,-0.464,
Australia,2002,-0.522,
Australia,2003,-0.599,
Australia,2004,-0.571,
Australia,2005,-0.524,
Australia,2006,-0.594,
Australia,2007,-0.595,
Australia,2008,-0.467,
Australia,2009,-0.701,
Australia,2010,-0.636,
Australia,2011,-0.569,
Austria,1970,-0.073,
Austria,1971,-0.05,
Austria,1972,-0.037,
Austria,1973,-0.024,
Austria,1974,-0.036,
Austria,1975,-0.026,
Austria,1976,-0.04,
Austria,1977,-0.084,
Austria,1978,-0.084,
Austria,1979,-0.094,
Austria,1980,-0.127,
Austria,1981,-0.167,
Austria,1982,-0.099,
Austria,1983,-0.01,
Austria,1984,-0.084,
Austria,1985,-0.114,
Austria,1986,-0.102,
Austria,1987,-0.112,
Austria,1988,-0.101,
Austria,1989,-0.092,
Austria,1990,-0.087,
Austria,1991,-0.11,
Austria,1992,-0.089,
Austria,1993,-0.099,
Austria,1994,-0.121,
Austria,1995,-0.154,
Austria,1996,-0.133,
Austria,1997,-0.168,
Austria,1998,-0.214,
Austria,1999,-0.192,
Austria,2000,-0.212,
Austria,2001,-0.263,
Austria,2002,-0.24,
Austria,2003,-0.176,
Austria,2004,-0.204,
Austria,2005,-0.222,
Austria,2006,-0.233,
Austria,2007,-0.216,
Austria,2008,-0.179,
Austria,2009,-0.115,
Austria,2010,-0.103,
Austria,2011,-0.045,
Belgium,1970,0.067,
Belgium,1971,0.093,
Belgium,1972,0.111,
Belgium,1973,0.111,
Belgium,1974,0.116,
Belgium,1975,0.099,
Belgium,1976,0.096,
Belgium,1977,0.079,
Belgium,1978,0.057,
Belgium,1979,0.044,
Belgium,1980,0.035,
Belgium,1981,-0.019,
Belgium,1982,-0.071,
Belgium,1983,-0.084,
Belgium,1984,-0.107,
Belgium,1985,-0.129,
Belgium,1986,-0.106,
Belgium,1987,-0.079,
Belgium,1988,-0.068,
Belgium,1989,-0.057,
Belgium,1990,-0.015,
Belgium,1991,0.029,
Belgium,1992,0.063,
Belgium,1993,0.094,
Belgium,1994,0.12,
Belgium,1995,0.143,
Belgium,1996,0.221,
Belgium,1997,0.299,
Belgium,1998,0.378,
Belgium,1999,0.56,
Belgium,2000,0.6,
Belgium,2001,0.5,
Belgium,2002,0.4,
Belgium,2003,0.398,
Belgium,2004,0.301,
Belgium,2005,0.308,
Belgium,2006,0.289,
Belgium,2007,0.297,
Belgium,2008,0.363,
Belgium,2009,0.529,
Belgium,2010,0.613,
Belgium,2011,0.575,
Canada,1970,-0.367,
Canada,1971,-0.354,
Canada,1972,-0.354,
Canada,1973,-0.326,
Canada,1974,-0.284,
Canada,1975,-0.301,
Canada,1976,-0.309,
Canada,1977,-0.309,
Canada,1978,-0.356,
Canada,1979,-0.389,
Canada,1980,-0.363,
Canada,1981,-0.389,
Canada,1982,-0.369,
Canada,1983,-0.368,
Canada,1984,-0.351,
Canada,1985,-0.37,
Canada,1986,-0.392,
Canada,1987,-0.401,
Canada,1988,-0.368,
Canada,1989,-0.369,
Canada,1990,-0.403,
Canada,1991,-0.427,
Canada,1992,-0.429,
Canada,1993,-0.491,
Canada,1994,-0.44,
Canada,1995,-0.417,
Canada,1996,-0.387,
Canada,1997,-0.316,
Canada,1998,-0.218,
Canada,1999,-0.116,
Canada,2000,-0.058,
Canada,2001,-0.085,
Canada,2002,-0.14,
Canada,2003,-0.177,
Canada,2004,-0.134,
Canada,2005,-0.119,
Canada,2006,-0.029,
Canada,2007,-0.118,
Canada,2008,-0.064,
Canada,2009,-0.143,
Canada,2010,-0.161,
Canada,2011,-0.139,
Denmark,1970,-0.189,
Denmark,1971,-0.217,
Denmark,1972,-0.186,
Denmark,1973,-0.178,
Denmark,1974,-0.212,
Denmark,1975,-0.184,
Denmark,1976,-0.229,
Denmark,1977,-0.267,
Denmark,1978,-0.28,
Denmark,1979,-0.303,
Denmark,1980,-0.312,
Denmark,1981,-0.349,
Denmark,1982,-0.386,
Denmark,1983,-0.402,
Denmark,1984,-0.409,
Denmark,1985,-0.522,
Denmark,1986,-0.481,
Denmark,1987,-0.487,
Denmark,1988,-0.435,
Denmark,1989,-0.47,
Denmark,1990,-0.43,
Denmark,1991,-0.416,
Denmark,1992,-0.336,
Denmark,1993,-0.313,
Denmark,1994,-0.278,
Denmark,1995,-0.268,
Denmark,1996,-0.231,
Denmark,1997,-0.242,
Denmark,1998,-0.28,
Denmark,1999,-0.128,
Denmark,2000,-0.144,
Denmark,2001,-0.17,
Denmark,2002,-0.187,
Denmark,2003,-0.139,
Denmark,2004,-0.094,
Denmark,2005,0.033,
Denmark,2006,-0.007,
Denmark,2007,-0.068,
Denmark,2008,-0.055,
Denmark,2009,0.03,
Denmark,2010,0.111,
Denmark,2011,0.236,
Finland,1970,-0.256,
Finland,1971,-0.255,
Finland,1972,-0.213,
Finland,1973,-0.158,
Finland,1974,-0.149,
Finland,1975,-0.177,
Finland,1976,-0.197,
Finland,1977,-0.208,
Finland,1978,-0.187,
Finland,1979,-0.158,
Finland,1980,-0.147,
Finland,1981,-0.168,
Finland,1982,-0.173,
Finland,1983,-0.198,
Finland,1984,-0.187,
Finland,1985,-0.194,
Finland,1986,-0.17,
Finland,1987,-0.195,
Finland,1988,-0.186,
Finland,1989,-0.227,
Finland,1990,-0.287,
Finland,1991,-0.338,
Finland,1992,-0.396,
Finland,1993,-0.52,
Finland,1994,-0.556,
Finland,1995,-0.416,
Finland,1996,-0.419,
Finland,1997,-0.403,
Finland,1998,-0.772,
Finland,1999,-1.655,
Finland,2000,-1.492,
Finland,2001,-0.812,
Finland,2002,-0.411,
Finland,2003,-0.298,
Finland,2004,-0.113,
Finland,2005,-0.149,
Finland,2006,-0.15,
Finland,2007,-0.305,
Finland,2008,-0.072,
Finland,2009,0.017,
Finland,2010,0.154,
Finland,2011,0.129,
France,1970,0.692,
France,1971,0.681,
France,1972,0.613,
France,1973,0.446,
France,1974,0.354,
France,1975,0.315,
France,1976,0.318,
France,1977,0.282,
France,1978,0.248,
France,1979,0.225,
France,1980,0.206,
France,1981,0.196,
France,1982,0.177,
France,1983,0.177,
France,1984,0.191,
France,1985,0.197,
France,1986,0.137,
France,1987,0.141,
France,1988,0.117,
France,1989,0.068,
France,1990,0.003,
France,1991,-0.05,
France,1992,-0.056,
France,1993,-0.099,
France,1994,-0.041,
France,1995,-0.043,
France,1996,0.008,
France,1997,0.092,
France,1998,0.073,
France,1999,-0.013,
France,2000,0.167,
France,2001,0.11,
France,2002,0.008,
France,2003,-0.015,
France,2004,-0.032,
France,2005,-0.011,
France,2006,-0.013,
France,2007,-0.043,
France,2008,-0.146,
France,2009,-0.136,
France,2010,-0.203,
France,2011,-0.326,
Germany,1970,0.058,
Germany,1971,0.057,
Germany,1972,0.051,
Germany,1973,0.052,
Germany,1974,0.083,
Germany,1975,0.074,
Germany,1976,0.085,
Germany,1977,0.081,
Germany,1978,0.071,
Germany,1979,0.056,
Germany,1980,0.049,
Germany,1981,0.055,
Germany,1982,0.059,
Germany,1983,0.068,
Germany,1984,0.089,
Germany,1985,0.099,
Germany,1986,0.11,
Germany,1987,0.151,
Germany,1988,0.175,
Germany,1989,0.223,
Germany,1990,0.216,
Germany,1991,0.172,
Germany,1992,0.129,
Germany,1993,0.106,
Germany,1994,0.093,
Germany,1995,0.051,
Germany,1996,0.039,
Germany,1997,0.043,
Germany,1998,0.001,
Germany,1999,0.027,
Germany,2000,0.017,
Germany,2001,0.07,
Germany,2002,0.038,
Germany,2003,0.055,
Germany,2004,0.099,
Germany,2005,0.179,
Germany,2006,0.269,
Germany,2007,0.257,
Germany,2008,0.215,
Germany,2009,0.307,
Germany,2010,0.299,
Germany,2011,0.25,
Greece,1970,-0.021,
Greece,1971,-0.015,
Greece,1972,0.001,
Greece,1973,-0.011,
Greece,1974,-0.038,
Greece,1975,-0.041,
Greece,1976,-0.041,
Greece,1977,-0.054,
Greece,1978,-0.06,
Greece,1979,-0.078,
Greece,1980,-0.09,
Greece,1981,-0.159,
Greece,1982,-0.182,
Greece,1983,-0.224,
Greece,1984,-0.256,
Greece,1985,-0.347,
Greece,1986,-0.377,
Greece,1987,-0.377,
Greece,1988,-0.284,
Greece,1989,-0.219,
