Country,Year,nfa
Australia,1970,-10248
Australia,1971,-10065
Australia,1972,-10484
Australia,1973,-9157
Australia,1974,-8094
Australia,1975,-11781
Australia,1976,-12273
Australia,1977,-16293
Australia,1978,-21464
Australia,1979,-29642
Australia,1980,-43366
Australia,1981,-44664
Australia,1982,-43083
Australia,1983,-55605
Australia,1984,-53702
Australia,1985,-61820
Australia,1986,-76435
Australia,1987,-92708
Australia,1988,-119510
Australia,1989,-133373
Australia,1990,-145163
Australia,1991,-154166
Australia,1992,-148209
Australia,1993,-166002
Australia,1994,-192086
Australia,1995,-203304
Australia,1996,-228159
Australia,1997,-185327
Australia,1998,-194177
Australia,1999,-217750
Australia,2000,-196204
Australia,2001,-174636
Australia,2002,-221171
Australia,2003,-322991
Australia,2004,-374073
Australia,2005,-383032
Australia,2006,-462434
Australia,2007,-562791
Australia,2008,-490905
Australia,2009,-695965
Australia,2010,-793405
Australia,2011,-848632
Austria,1970,-1091
Austria,1971,-885
Austria,1972,-792
Austria,1973,-692
Austria,1974,-1236
Austria,1975,-1010
Austria,1976,-1675
Austria,1977,-4230
Austria,1978,-5139
Austria,1979,-6788
Austria,1980,-10145
Austria,1981,-11578
Austria,1982,-6879
Austria,1983,-690
Austria,1984,-5598
Austria,1985,-7733
Austria,1986,-9863
Austria,1987,-13481
Austria,1988,-13292
Austria,1989,-12113
Austria,1990,-14394
Austria,1991,-18979
Austria,1992,-17193
Austria,1993,-18594
Austria,1994,-24503
Austria,1995,-36742
Austria,1996,-31280
Austria,1997,-34918
Austria,1998,-45682
Austria,1999,-40881
Austria,2000,-40788
Austria,2001,-50398
Austria,2002,-49957
Austria,2003,-44901
Austria,2004,-59426
Austria,2005,-67822
Austria,2006,-75768
Austria,2007,-80942
Austria,2008,-74365
Austria,2009,-44365
Austria,2010,-38958
Austria,2011,-18684
Belgium,1970,1715
Belgium,1971,2653
Belgium,1972,3983
Belgium,1973,5119
Belgium,1974,6259
Belgium,1975,6234
Belgium,1976,6593
Belgium,1977,6296
Belgium,1978,5552
Belgium,1979,4910
Belgium,1980,4282
Belgium,1981,-1938
Belgium,1982,-6282
Belgium,1983,-7023
Belgium,1984,-8594
Belgium,1985,-10799
Belgium,1986,-12230
Belgium,1987,-11344
Belgium,1988,-10563
Belgium,1989,-9061
Belgium,1990,-3051
Belgium,1991,5848
Belgium,1992,14254
Belgium,1993,20304
Belgium,1994,28262
Belgium,1995,40646
Belgium,1996,60867
Belgium,1997,74743
Belgium,1998,96723
Belgium,1999,142666
Belgium,2000,140086
Belgium,2001,116233
Belgium,2002,101589
Belgium,2003,124206
Belgium,2004,108863
Belgium,2005,116257
Belgium,2006,115661
Belgium,2007,136778
Belgium,2008,185228
Belgium,2009,251145
Belgium,2010,289608
Belgium,2011,296008
Canada,1970,-32332
Canada,1971,-35247
Canada,1972,-40165
Canada,1973,-42868
Canada,1974,-45553
Canada,1975,-52394
Canada,1976,-63796
Canada,1977,-65480
Canada,1978,-78075
Canada,1979,-94836
Canada,1980,-99692
Canada,1981,-119503
Canada,1982,-115955
Canada,1983,-125261
Canada,1984,-124416
Canada,1985,-134386
Canada,1986,-147404
Canada,1987,-172335
Canada,1988,-187320
Canada,1989,-209306
Canada,1990,-239610
Canada,1991,-260838
Canada,1992,-253775
Canada,1993,-282275
Canada,1994,-253299
Canada,1995,-251108
Canada,1996,-242407
Canada,1997,-205708
Canada,1998,-137971
Canada,1999,-78377
Canada,2000,-43097
Canada,2001,-61950
Canada,2002,-105588
Canada,2003,-156774
Canada,2004,-136367
Canada,2005,-138396
Canada,2006,-37776
Canada,2007,-172184
Canada,2008,-98292
Canada,2009,-195262
Canada,2010,-259916
Canada,2011,-247030
Denmark,1970,-3140
Denmark,1971,-4017
Denmark,1972,-4237
Denmark,1973,-5345
Denmark,1974,-7049
Denmark,1975,-7259
Denmark,1976,-9985
Denmark,1977,-13024
Denmark,1978,-16593
Denmark,1979,-20940
Denmark,1980,-21762
Denmark,1981,-21090
Denmark,1982,-22741
Denmark,1983,-23779
Denmark,1984,-23587
Denmark,1985,-31967
Denmark,1986,-41501
Denmark,1987,-52291
Denmark,1988,-49219
Denmark,1989,-51769
Denmark,1990,-58457
Denmark,1991,-56855
Denmark,1992,-50502
Denmark,1993,-44037
Denmark,1994,-42728
Denmark,1995,-48847
Denmark,1996,-42551
Denmark,1997,-41233
Denmark,1998,-48676
Denmark,1999,-22340
Denmark,2000,-22978
Denmark,2001,-27319
Denmark,2002,-32599
Denmark,2003,-29598
Denmark,2004,-22987
Denmark,2005,8465
Denmark,2006,-2008
Denmark,2007,-21111
Denmark,2008,-18853
Denmark,2009,9180
Denmark,2010,34781
Denmark,2011,78631
Finland,1970,-2874
Finland,1971,-3156
Finland,1972,-3105
Finland,1973,-3042
Finland,1974,-3654
Finland,1975,-5181
Finland,1976,-6198
Finland,1977,-6918
Finland,1978,-6703
Finland,1979,-6959
Finland,1980,-7781
Finland,1981,-8709
Finland,1982,-9067
Finland,1983,-9961
Finland,1984,-9788
Finland,1985,-10736
Finland,1986,-12337
Finland,1987,-17598
Finland,1988,-19947
Finland,1989,-26547
Finland,1990,-39915
Finland,1991,-42483
Finland,1992,-43879
Finland,1993,-45488
Finland,1994,-56170
Finland,1995,-54447
Finland,1996,-53782
Finland,1997,-49688
Finland,1998,-100364
Finland,1999,-216013
Finland,2000,-182237
Finland,2001,-101328
Finland,2002,-55737
Finland,2003,-49059
Finland,2004,-21429
Finland,2005,-29211
Finland,2006,-31133
Finland,2007,-75203
Finland,2008,-19572
Finland,2009,4186
Finland,2010,36651
Finland,2011,34070
France,1970,102692
France,1971,112898
France,1972,124717
France,1973,117969
France,1974,99611
France,1975,111999
France,1976,117018
France,1977,114716
France,1978,124778
France,1979,136101
France,1980,142088
France,1981,119011
France,1982,102213
France,1983,97780
France,1984,99768
France,1985,107844
