Country,Year,porteqassets
Australia,1970,96.63252484
Australia,1971,100.141206
Australia,1972,126.6060249
Australia,1973,127.5164958
Australia,1974,103.3012414
Australia,1975,127.5743658
Australia,1976,151.3332678
Australia,1977,154.1115827
Australia,1978,184.4345814
Australia,1979,200.2730566
Australia,1980,260
Australia,1981,246.476321
Australia,1982,568.2766194
Australia,1983,953.6458914
Australia,1984,1245.109879
Australia,1985,2699.301987
Australia,1986,5762.4864
Australia,1987,6499.61
Australia,1988,10322.463
Australia,1989,13827.8588
Australia,1990,12391.3592
Australia,1991,16426.876
Australia,1992,17208.8026
Australia,1993,21523.6548
Australia,1994,22662.36262
Australia,1995,27175.365
Australia,1996,31681.58758
Australia,1997,33076.22571
Australia,1998,36782.433
Australia,1999,57208.8076
Australia,2000,59195.454
Australia,2001,60057.7932
Australia,2002,65500.847
Australia,2003,92943
Australia,2004,114631.408
Australia,2005,135363.9815
Australia,2006,185432.4507
Australia,2007,263672.4544
Australia,2008,157578.0528
Australia,2009,238680.3373
Australia,2010,280056.7095
Australia,2011,284089.7256
Austria,1970,151.5801521
Austria,1971,204.8995652
Austria,1972,250.5224377
Austria,1973,245.8409287
Austria,1974,224.7476508
Austria,1975,295.5260533
Austria,1976,341.174123
Austria,1977,334.2962457
Austria,1978,378.5915948
Austria,1979,395.4080871
Austria,1980,477.01
Austria,1981,367.77
Austria,1982,321.15
Austria,1983,326.51
Austria,1984,407.12
Austria,1985,601.85
Austria,1986,984.68
Austria,1987,1502.22
Austria,1988,1894.15
Austria,1989,2606.86
Austria,1990,3362.37
Austria,1991,3498.92
Austria,1992,3434.91
Austria,1993,3722.31
Austria,1994,4941.2
Austria,1995,5868.36
Austria,1996,6454.26
Austria,1997,11501.62
Austria,1998,17225.27
Austria,1999,28935.8
Austria,2000,42698.31875
Austria,2001,31190.32001
Austria,2002,30047.48504
Austria,2003,44150.09306
Austria,2004,54934.61221
Austria,2005,63610.76973
Austria,2006,87889.76013
Austria,2007,100307.5104
Austria,2008,54174.34817
Austria,2009,74251.98283
Austria,2010,86393.3472
Austria,2011,73066.533
Belgium,1970,372.1495919
Belgium,1971,469.7532425
Belgium,1972,598.7059739
Belgium,1973,818.6764146
Belgium,1974,1154.164266
Belgium,1975,1182.659439
Belgium,1976,1476.65586
Belgium,1977,1901.010014
Belgium,1978,2589.63604
Belgium,1979,3202.260304
Belgium,1980,3849.350993
Belgium,1981,4290.17
Belgium,1982,2919.86
Belgium,1983,4169.66
Belgium,1984,4090.04
Belgium,1985,6652.1
Belgium,1986,11383.32
Belgium,1987,13211.67
Belgium,1988,19708.13
Belgium,1989,27628.64
Belgium,1990,33857.82
Belgium,1991,38727.21
Belgium,1992,42616.03
Belgium,1993,59318.75
Belgium,1994,59803.69
Belgium,1995,63766.79
Belgium,1996,64571.16
Belgium,1997,64661.43
Belgium,1998,94141.64
Belgium,1999,125273.6
Belgium,2000,124687
Belgium,2001,110225.9536
Belgium,2002,104970.6752
Belgium,2003,146643.141
Belgium,2004,172163.9916
Belgium,2005,204559.98
Belgium,2006,248209.722
Belgium,2007,313728.0636
Belgium,2008,209830.7841
Belgium,2009,226761.9648
Belgium,2010,229642.0044
Belgium,2011,195297.3843
Canada,1970,2775.826973
Canada,1971,2977.587779
Canada,1972,3275.280165
Canada,1973,2612.307413
Canada,1974,1827.551672
Canada,1975,2314.981468
Canada,1976,2531.855751
Canada,1977,2237.665813
Canada,1978,2451.22261
Canada,1979,3164.520253
Canada,1980,3950.10733
Canada,1981,3635.770948
Canada,1982,4131.032304
Canada,1983,5602.16608
Canada,1984,6276.106292
Canada,1985,9603.107017
Canada,1986,15531.45473
Canada,1987,19208.18727
Canada,1988,27180.03629
Canada,1989,34830.15722
Canada,1990,30397.65578
Canada,1991,43695.46556
Canada,1992,49287.79797
Canada,1993,69568.45997
Canada,1994,74003.9136
Canada,1995,89062.95048
Canada,1996,117529.5699
Canada,1997,138874.2285
Canada,1998,156158.6821
Canada,1999,235440.4497
Canada,2000,239836.0665
Canada,2001,230795.9048
Canada,2002,203203.5996
Canada,2003,276785.1749
Canada,2004,319415.0307
Canada,2005,382107.5371
Canada,2006,499649.0354
Canada,2007,610427.7705
Canada,2008,357081.8496
Canada,2009,480126.6167
Canada,2010,576709.9441
Canada,2011,578596.096
Denmark,1970,48.91823151
Denmark,1971,61.03064217
Denmark,1972,78.68380222
Denmark,1973,109.633932
Denmark,1974,133.4950781
Denmark,1975,120.871265
Denmark,1976,136.2293821
Denmark,1977,138.1286805
Denmark,1978,155.8429451
Denmark,1979,163.9598684
Denmark,1980,194.6503076
Denmark,1981,166.1337113
Denmark,1982,115.3805497
Denmark,1983,162.4628418
Denmark,1984,294.1391413
Denmark,1985,725.4292743
