Country,Year,porteqliab
Australia,1970,3072.196758
Australia,1971,3807.57347
Australia,1972,5255.444841
Australia,1973,4016.096396
Australia,1974,2005.264829
Australia,1975,3384.159671
Australia,1976,2807.290086
Australia,1977,2917.297639
Australia,1978,3426.971249
Australia,1979,5136.171427
Australia,1980,9605.134497
Australia,1981,7371.491963
Australia,1982,5898.886062
Australia,1983,9316.827692
Australia,1984,7092.060799
Australia,1985,8487.73435
Australia,1986,12166.5048
Australia,1987,15385.6375
Australia,1988,17764.4575
Australia,1989,17634.4042
Australia,1990,19672.752
Australia,1991,21982.5336
Australia,1992,18967.487
Australia,1993,35939.1138
Australia,1994,46570.7124
Australia,1995,51341.675
Australia,1996,61154.48041
Australia,1997,60327.10382
Australia,1998,73020.33669
Australia,1999,100804.8454
Australia,2000,84947.036
Australia,2001,89130.336
Australia,2002,87368.0572
Australia,2003,138978
Australia,2004,146733.219
Australia,2005,178806.3585
Australia,2006,248051.9762
Australia,2007,320833.6352
Australia,2008,169864.8608
Australia,2009,331862.8659
Australia,2010,389981.7501
Australia,2011,314700.9252
Austria,1970,11.53230963
Austria,1971,15.66213406
Austria,1972,27.46950158
Austria,1973,33.13688756
Austria,1974,35.41780482
Austria,1975,38.00846417
Austria,1976,45.07815615
Austria,1977,43.40731735
Austria,1978,52.84403828
Austria,1979,44.63562232
Austria,1980,46.560001
Austria,1981,39.470001
Austria,1982,42.669998
Austria,1983,43.279999
Austria,1984,40.18
Austria,1985,173.61
Austria,1986,233.41
Austria,1987,293.32999
Austria,1988,517.31
Austria,1989,1244.1801
Austria,1990,1976.21
Austria,1991,2544.6699
Austria,1992,2633.4299
Austria,1993,3590.55
Austria,1994,5378.79
Austria,1995,6988.5
Austria,1996,9056.0498
Austria,1997,15661.68
Austria,1998,15622.81
Austria,1999,14745.02
Austria,2000,19569.3455
Austria,2001,14919.79723
Austria,2002,17235.44514
Austria,2003,26470.53979
Austria,2004,45181.27682
Austria,2005,59235.69331
Austria,2006,92956.88466
Austria,2007,105127.1428
Austria,2008,46804.66077
Austria,2009,60308.50671
Austria,2010,62714.547
Austria,2011,47373.5607
Belgium,1970,54.39943978
Belgium,1971,111.4963724
Belgium,1972,155.1058407
Belgium,1973,201.4128018
Belgium,1974,194.2194875
Belgium,1975,195.5682339
Belgium,1976,222.5431628
Belgium,1977,311.1108457
Belgium,1978,388.8885571
Belgium,1979,428.0022039
Belgium,1980,368.2077784
Belgium,1981,312.01001
Belgium,1982,404.94
Belgium,1983,449.32001
Belgium,1984,380.47
Belgium,1985,814.14001
Belgium,1986,2053.95
Belgium,1987,2805.22
Belgium,1988,3748.8301
Belgium,1989,4753.9102
Belgium,1990,5616.0698
Belgium,1991,5980.1699
Belgium,1992,5937.3101
Belgium,1993,8252.5596
Belgium,1994,9736.9502
Belgium,1995,10011.9
Belgium,1996,11173.25
Belgium,1997,12099.13
Belgium,1998,17842.631
Belgium,1999,15470.84
Belgium,2000,14236.65
Belgium,2001,15663.3449
Belgium,2002,18059.6627
Belgium,2003,27884.514
Belgium,2004,44250.5427
Belgium,2005,43015.4011
Belgium,2006,57745.182
Belgium,2007,72899.8641
Belgium,2008,47647.6329
Belgium,2009,84943.5384
Belgium,2010,79259.3754
Belgium,2011,70178.5482
Canada,1970,6756.314651
Canada,1971,7315.311505
Canada,1972,9431.203367
Canada,1973,8865.792771
Canada,1974,6097.321831
Canada,1975,6800.136706
Canada,1976,7100.567623
Canada,1977,6540.26985
Canada,1978,7273.137523
Canada,1979,11173.20308
Canada,1980,14486.92769
Canada,1981,11930.57064
Canada,1982,11322.64351
Canada,1983,15418.47699
Canada,1984,13856.0924
Canada,1985,16740.9468
Canada,1986,19381.92214
Canada,1987,26104.31542
Canada,1988,27786.46686
Canada,1989,37264.86523
Canada,1990,30103.42153
Canada,1991,28966.77051
Canada,1992,26093.93439
Canada,1993,41006.0423
Canada,1994,44812.51782
Canada,1995,57054.64401
Canada,1996,79913.84346
Canada,1997,84974.45945
Canada,1998,92862.46325
Canada,1999,145243.5391
Canada,2000,152328.5582
Canada,2001,113270.3021
Canada,2002,99394.95695
Canada,2003,172321.6039
Canada,2004,225899.2364
Canada,2005,280843.3883
Canada,2006,346101.1264
Canada,2007,418081.0269
Canada,2008,209170.8904
Canada,2009,353642.8818
Canada,2010,452415.722
Canada,2011,399076.6405
Denmark,1970,71.43664368
Denmark,1971,89.96027565
Denmark,1972,100.1102217
Denmark,1973,135.5546515
Denmark,1974,171.6225853
Denmark,1975,175.4803196
Denmark,1976,149.1792819
Denmark,1977,117.2479195
Denmark,1978,110.3033643
Denmark,1979,98.68634221
Denmark,1980,215.6997039
Denmark,1981,392.4151948
Denmark,1982,421.9146358
Denmark,1983,822.7843482
Denmark,1984,498.9102829
Denmark,1985,726.5246874
Denmark,1986,844.0095041
Denmark,1987,1219.414433
Denmark,1988,1624.504379
Denmark,1989,2482.201386
Denmark,1990,2478.070279
Denmark,1991,2874.77805
Denmark,1992,2397.889857
Denmark,1993,3248.431155
Denmark,1994,6740.095348
Denmark,1995,8294.266138
Denmark,1996,12448.48179
Denmark,1997,20363.31673
Denmark,1998,20556.17318
Denmark,1999,20740.25518
Denmark,2000,26023.31525
Denmark,2001,23842.3995
Denmark,2002,20671.50254
Denmark,2003,31257.85009
Denmark,2004,44458.78255
Denmark,2005,49096.63035
Denmark,2006,62886.38853
Denmark,2007,83206.70699
Denmark,2008,45674.09033
Denmark,2009,66976.35884
Denmark,2010,92812.60578
Denmark,2011,78487.53829
Finland,1970,0
Finland,1971,0
Finland,1972,0
Finland,1973,0
Finland,1974,43.59651277
Finland,1975,57.02481644
Finland,1976,64.44446339
Finland,1977,64.44446339
Finland,1978,65.21141164
Finland,1979,68.55350113
Finland,1980,68.55350113
Finland,1981,69.18329859
Finland,1982,88.28481477
Finland,1983,179.9854788
Finland,1984,182.0052275
Finland,1985,242.9605118
Finland,1986,702.13
Finland,1987,1159.4
Finland,1988,1278.72
Finland,1989,2006.9
Finland,1990,1390.2
Finland,1991,1003.87
Finland,1992,979.40997
Finland,1993,5251.1001
Finland,1994,12767.33
Finland,1995,14625.34
Finland,1996,23456.789
Finland,1997,28870.26
Finland,1998,79721.742
Finland,1999,219531.2196
Finland,2000,204361.0625
Finland,2001,128038.7892
Finland,2002,89172.75428
Finland,2003,103315.1051
Finland,2004,102974.3377
Finland,2005,119951.9668
Finland,2006,154812.7969
Finland,2007,229908.3089
Finland,2008,96964.17852
Finland,2009,104051.7
Finland,2010,97396.47317
Finland,2011,66877.77048
France,1970,377.8614437
France,1971,553.121022
France,1972,901.8472417
France,1973,949.3600686
France,1974,956.531816
France,1975,1711.806469
France,1976,1430.959862
France,1977,1520.86889
France,1978,2601.252167
France,1979,3206.291078
France,1980,3172.046886
France,1981,2188.129342
France,1982,2418.632482
France,1983,3521.242035
France,1984,3787.096104
France,1985,9596.817195
France,1986,21805.84203
France,1987,21269.09137
France,1988,30986.78416
France,1989,50290.001
France,1990,54830.002
France,1991,71180
France,1992,72529.999
France,1993,103820
France,1994,102207.2578
France,1995,120755.102
France,1996,155317.9301
France,1997,208580.351
France,1998,300439.3376
France,1999,482208
France,2000,502116.41
France,2001,415991.226
France,2002,345127.17
France,2003,490902.84
France,2004,593861.979
France,2005,690454.816
France,2006,990331.32
France,2007,1060383.072
France,2008,624817.632
France,2009,825766.326
France,2010,774033.936
France,2011,645694.917
Germany,1970,1700.545148
Germany,1971,2145.567536
Germany,1972,3376.34535
Germany,1973,3030.568267
Germany,1974,3405.262596
Germany,1975,5076.600425
Germany,1976,5899.372007
Germany,1977,7942.090128
Germany,1978,11321.42461
Germany,1979,11488.29375
Germany,1980,10094.9464
Germany,1981,9691.768676
Germany,1982,10551.65159
Germany,1983,13742.93267
Germany,1984,13932.02033
Germany,1985,34092.14643
Germany,1986,51720.93982
Germany,1987,39693.96143
Germany,1988,48321.06948
Germany,1989,81036.63565
Germany,1990,80700.80321
Germany,1991,83377.30871
Germany,1992,69456.00991
Germany,1993,93608.2952
Germany,1994,99506.06921
Germany,1995,110776.4213
Germany,1996,140288.7831
Germany,1997,186976.1732
Germany,1998,289976.0909
Germany,1999,375408.974
Germany,2000,300752.488
Germany,2001,294687.3314
Germany,2002,212677.4087
Germany,2003,362453.214
Germany,2004,399721.866
Germany,2005,445159.795
Germany,2006,622861.98
Germany,2007,908918.703
Germany,2008,472284.5286
Germany,2009,649459.9356
Germany,2010,662565.4596
Germany,2011,570540.0294
Greece,1970,n.a.
Greece,1971,n.a.
Greece,1972,n.a.
Greece,1973,n.a.
Greece,1974,n.a.
Greece,1975,n.a.
Greece,1976,n.a.
Greece,1977,n.a.
Greece,1978,n.a.
Greece,1979,n.a.
Greece,1980,n.a.
Greece,1981,n.a.
Greece,1982,n.a.
Greece,1983,n.a.
Greece,1984,n.a.
Greece,1985,n.a.
Greece,1986,23.12967081
Greece,1987,119.7971384
Greece,1988,129.9244135
Greece,1989,283.3578342
Greece,1990,650.3208803
Greece,1991,607.656842
Greece,1992,606.6011407
Greece,1993,1450.992319
Greece,1994,2111.872703
Greece,1995,2917.632149
Greece,1996,4368.429433
Greece,1997,5625.004027
Greece,1998,12001
Greece,1999,15210.6486
Greece,2000,9584.15
Greece,2001,7711.375
Greece,2002,8425.2558
Greece,2003,16139.877
Greece,2004,28386.164
Greece,2005,37962.746
Greece,2006,60247.482
Greece,2007,93547.5387
Greece,2008,23892.7056
Greece,2009,28114.7496
Greece,2010,17106.0324
Greece,2011,7480.0359
Iceland,1970,0
Iceland,1971,0
Iceland,1972,0
Iceland,1973,0
Iceland,1974,0
Iceland,1975,0
Iceland,1976,0
Iceland,1977,0
Iceland,1978,0
Iceland,1979,0
Iceland,1980,0
Iceland,1981,0
Iceland,1982,0
Iceland,1983,0
Iceland,1984,0
Iceland,1985,0
Iceland,1986,0
Iceland,1987,0
Iceland,1988,0
Iceland,1989,0
Iceland,1990,0
Iceland,1991,0
Iceland,1992,0
Iceland,1993,20.78830142
Iceland,1994,27.03371386
Iceland,1995,38.05605368
Iceland,1996,61.0535316
Iceland,1997,62.0014485
Iceland,1998,82.82927791
Iceland,1999,183.1733807
Iceland,2000,101.2402734
Iceland,2001,117.8339
Iceland,2002,236.4110201
Iceland,2003,292.970841
Iceland,2004,781.2581913
Iceland,2005,3689.784354
Iceland,2006,4980.495615
Iceland,2007,5831.241935
Iceland,2008,103.4168942
Iceland,2009,187.3819055
Iceland,2010,391.2907432
Iceland,2011,378.3880694
Ireland,1970,0
Ireland,1971,0
Ireland,1972,0
Ireland,1973,0
Ireland,1974,0
Ireland,1975,0
Ireland,1976,58.62891506
Ireland,1977,58.62891506
Ireland,1978,58.62891506
Ireland,1979,58.62891506
Ireland,1980,58.62891506
Ireland,1981,58.62891506
Ireland,1982,58.62891506
Ireland,1983,58.62891506
Ireland,1984,58.62891506
Ireland,1985,58.62891506
Ireland,1986,58.62891506
Ireland,1987,58.62891506
Ireland,1988,80.13120458
Ireland,1989,808.2200701
Ireland,1990,2074.624528
Ireland,1991,4484.477843
Ireland,1992,7770.070555
Ireland,1993,16319.97455
Ireland,1994,20612.31252
Ireland,1995,30857.85318
Ireland,1996,44596.62623
Ireland,1997,63195.04251
Ireland,1998,109688.501
Ireland,1999,160645.586
Ireland,2000,217502.514
Ireland,2001,279224.9229
Ireland,2002,343771.2009
Ireland,2003,481711.989
Ireland,2004,613830.365
Ireland,2005,712329.9931
Ireland,2006,950794.98
Ireland,2007,1155092.098
Ireland,2008,889190.5308
Ireland,2009,1177526.272
Ireland,2010,1407712.088
Ireland,2011,1478895.353
Italy,1970,189.9581857
Italy,1971,216.1302328
Italy,1972,271.1700916
Italy,1973,361.7570144
Italy,1974,288.870087
Italy,1975,311.8366816
Italy,1976,1172.071289
Italy,1977,977.6156489
Italy,1978,1382.257248
Italy,1979,1349.528352
Italy,1980,2400.903535
Italy,1981,2128.942433
Italy,1982,1708.220323
Italy,1983,1797.864935
Italy,1984,2318.558245
Italy,1985,6730.845334
Italy,1986,12212.67135
Italy,1987,9634.764445
Italy,1988,12500.88778
Italy,1989,18297.70708
Italy,1990,35220.4366
Italy,1991,35454.68986
Italy,1992,27556.78275
Italy,1993,39684.65086
Italy,1994,39666.45579
Italy,1995,58630.28065
Italy,1996,97200.00211
Italy,1997,140964.8839
Italy,1998,230761.5994
Italy,1999,243089.0896
Italy,2000,230591.8575
Italy,2001,165771.6487
Italy,2002,148364.8325
Italy,2003,201651.843
Italy,2004,285346.329
Italy,2005,292199.893
Italy,2006,412911.108
Italy,2007,419413.0668
Italy,2008,186157.9671
Italy,2009,245715.939
Italy,2010,203890.758
Italy,2011,150408.1116
Japan,1970,1361.72848
Japan,1971,2580.837048
Japan,1972,6356.500477
Japan,1973,4526.000435
Japan,1974,2765.355148
Japan,1975,3837.056485
Japan,1976,4592.219621
Japan,1977,4355.915822
Japan,1978,5596.670967
Japan,1979,5144.655239
Japan,1980,14180
Japan,1981,27770
Japan,1982,29809.999
Japan,1983,47419.998
Japan,1984,48029.999
Japan,1985,45950.001
Japan,1986,78690.002
Japan,1987,66300.003
Japan,1988,113520
Japan,1989,162080
Japan,1990,90379.997
Japan,1991,141780
Japan,1992,124590
Japan,1993,171170
Japan,1994,250880
Japan,1995,306280
Japan,1996,315649.99
Japan,1997,279530
Japan,1998,304329.99
Japan,1999,833429.99
Japan,2000,550229.98
Japan,2001,376049.99
Japan,2002,339929.99
Japan,2003,561022.1289
Japan,2004,743302.2188
Japan,2005,1126068.492
Japan,2006,1254952.754
Japan,2007,1245889.788
Japan,2008,756199.8237
Japan,2009,829589.2396
Japan,2010,988790.62
Japan,2011,847162.0857
Netherlands,1970,5979.093222
Netherlands,1971,5928.491787
Netherlands,1972,7553.566798
Netherlands,1973,6770.225103
Netherlands,1974,5033.648542
Netherlands,1975,7071.094452
Netherlands,1976,7654.29333
Netherlands,1977,8639.36515
Netherlands,1978,10054.58975
Netherlands,1979,11560.03451
