Country,Year,CB.Rate,,,,,,
Australia,1970,6.033333333,,,,,,
Australia,1971,6.074999999,,,,,,
Australia,1972,4.891666666,,,,,,
Australia,1973,6.133333333,,,,,,
Australia,1974,10.21666667,,,,,,
Australia,1975,8.708333333,,,,,,
Australia,1976,8.666666666,,,,,,
Australia,1977,9.908333333,,,,,,
Australia,1978,9.349999999,,,,,,
Australia,1979,9.525,,,,,,
Australia,1980,11.10833333,,,,,,
Australia,1981,13.525,,,,,,
Australia,1982,15.75833333,,,,,,
Australia,1983,12.14166667,,,,,,
Australia,1984,12.03333333,,,,,,
Australia,1985,15.98333333,,,,,,
Australia,1986,16.925,,,,,,
Australia,1987,14.95,,,,,,
Australia,1988,13.2,,,,,,
Australia,1989,17.23333333,,,,,,
Australia,1990,12,,,,,,
Australia,1991,8.5,,,,,,
Australia,1992,5.75,,,,,,
Australia,1993,4.75,,,,,,
Australia,1994,7.5,,,,,,
Australia,1995,7.5,,,,,,
Australia,1996,6,,,,,,
Australia,1997,5,,,,,,
Australia,1998,4.75,,,,,,
Australia,1999,5,,,,,,
Australia,2000,6.25,,,,,,
Australia,2001,4.25,,,,,,
Australia,2002,4.75,,,,,,
Australia,2003,5.25,,,,,,
Australia,2004,5.25,,,,,,
Australia,2005,5.5,,,,,,
Australia,2006,6.25,,,,,,
Australia,2007,6.75,,,,,,
Australia,2008,4.25,,,,,,
Australia,2009,3.75,,,,,,
Australia,2010,4.75,,,,,,
Australia,2011,4.25,,,,,,
Australia,2012,3,,,,,,
Australia,2013,2.5,,,,,,
Australia,2014,2.5,,,,,,
Australia,2015,2,,,,,,
Austria,1970,5,,,,,,
Austria,1971,5,,,,,,
Austria,1972,5.5,,,,,,
Austria,1973,5.5,,,,,,
Austria,1974,6.5,,,,,,
Austria,1975,6,,,,,,
Austria,1976,4,,,,,,
Austria,1977,5.5,,,,,,
Austria,1978,4.5,,,,,,
Austria,1979,3.75,,,,,,
Austria,1980,6.75,,,,,,
Austria,1981,6.75,,,,,,
Austria,1982,4.75,,,,,,
Austria,1983,3.75,,,,,,
Austria,1984,4.5,,,,,,
Austria,1985,4,,,,,,
Austria,1986,4,,,,,,
Austria,1987,3,,,,,,
Austria,1988,4,,,,,,
Austria,1989,6.5,,,,,,
Austria,1990,6.5,,,,,,
Austria,1991,8,,,,,,
Austria,1992,8,,,,,,
Austria,1993,5.25,,,,,,
Austria,1994,4.5,,,,,,
Austria,1995,3,,,,,,
Austria,1996,2.5,,,,,,
Austria,1997,2.5,,,,,,
Austria,1998,2.5,,,,,,
Austria,1999,3,,,,,,
Austria,2000,4.75,,,,,,
Austria,2001,3.25,,,,,,
Austria,2002,2.75,,,,,,
Austria,2003,2,,,,,,
Austria,2004,2,,,,,,
Austria,2005,2.25,,,,,,
Austria,2006,3.5,,,,,,
Austria,2007,4,,,,,,
Austria,2008,2.5,,,,,,
Austria,2009,1,,,,,,
Austria,2010,1,,,,,,
Austria,2011,1,,,,,,
Austria,2012,0.75,,,,,,
Austria,2013,0.25,,,,,,
Austria,2014,0.05,,,,,,
Austria,2015,0.05,,,,,,
Belgium,1970,6.5,,,,,,
Belgium,1971,5.5,,,,,,
Belgium,1972,5,,,,,,
Belgium,1973,7.75,,,,,,
Belgium,1974,8.75,,,,,,
Belgium,1975,6,,,,,,
Belgium,1976,9,,,,,,
Belgium,1977,9,,,,,,
Belgium,1978,6,,,,,,
Belgium,1979,10.5,,,,,,
Belgium,1980,12,,,,,,
Belgium,1981,15,,,,,,
Belgium,1982,11.5,,,,,,
Belgium,1983,10,,,,,,
Belgium,1984,11,,,,,,
Belgium,1985,9.75,,,,,,
Belgium,1986,8,,,,,,
Belgium,1987,7,,,,,,
Belgium,1988,7.75,,,,,,
Belgium,1989,10.25,,,,,,
Belgium,1990,10.5,,,,,,
Belgium,1991,8.5,,,,,,
Belgium,1992,7.75,,,,,,
Belgium,1993,5.25,,,,,,
Belgium,1994,4.5,,,,,,
Belgium,1995,3,,,,,,
Belgium,1996,2.5,,,,,,
Belgium,1997,2.75,,,,,,
Belgium,1998,2.75,,,,,,
Belgium,1999,3,,,,,,
Belgium,2000,4.75,,,,,,
Belgium,2001,3.25,,,,,,
Belgium,2002,2.75,,,,,,
Belgium,2003,2,,,,,,
Belgium,2004,2,,,,,,
Belgium,2005,2.25,,,,,,
Belgium,2006,3.5,,,,,,
Belgium,2007,4,,,,,,
Belgium,2008,2.5,,,,,,
Belgium,2009,1,,,,,,
Belgium,2010,1,,,,,,
Belgium,2011,1,,,,,,
Belgium,2012,0.75,,,,,,
Belgium,2013,0.25,,,,,,
Belgium,2014,0.05,,,,,,
Belgium,2015,0.05,,,,,,
Canada,1970,6,,,,,,
Canada,1971,4.75,,,,,,
Canada,1972,4.75,,,,,,
Canada,1973,7.25,,,,,,
Canada,1974,8.75,,,,,,
Canada,1975,9,,,,,,
Canada,1976,8.5,,,,,,
Canada,1977,7.5,,,,,,
Canada,1978,10.75,,,,,,
Canada,1979,14,,,,,,
Canada,1980,17.26,,,,,,
Canada,1981,14.66,,,,,,
Canada,1982,10.26,,,,,,
Canada,1983,10.04,,,,,,
Canada,1984,10.16,,,,,,
Canada,1985,9.49,,,,,,
Canada,1986,8.49,,,,,,
Canada,1987,8.66,,,,,,
Canada,1988,11.17,,,,,,
Canada,1989,12.47,,,,,,
Canada,1990,11.78,,,,,,
Canada,1991,7.67,,,,,,
Canada,1992,7.36,,,,,,
Canada,1993,4.11,,,,,,
Canada,1994,7.43,,,,,,
Canada,1995,5.79,,,,,,
Canada,1996,3.25,,,,,,
Canada,1997,4.5,,,,,,
Canada,1998,5.25,,,,,,
Canada,1999,5,,,,,,
Canada,2000,6,,,,,,
Canada,2001,2.5,,,,,,
Canada,2002,3,,,,,,
Canada,2003,3,,,,,,
Canada,2004,2.75,,,,,,
Canada,2005,3.5,,,,,,
Canada,2006,4.5,,,,,,
Canada,2007,4.5,,,,,,
Canada,2008,1.75,,,,,,
