Country,Year,NGDP,RGDP,NGFCF,RGFCF,,Country,Year,CPI,,Country,Year,Policy,Discount,Money Market,,,LOCATION,Location,SUBJECT,Subject,FREQUENCY,Frequency,TIME,Time,Value,,LOCATION,Location,SUBJECT,Subject,FREQUENCY,Frequency,TIME,Time,Value
France,1950,15539,285593,2810,48498,,France,1950,6.03,,France,1950,,,2.43,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1960,1960,451.8,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1960,1960,93.7
France,1951,19575,302109,3667,53147,,France,1951,7.09,,France,1951,,,2.7,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1961,1961,474.9,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1961,1961,104.6
France,1952,22814,311509,4468,53627,,France,1952,7.94,,France,1952,,,3.71,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1962,1962,506,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1962,1962,111.6
France,1953,23663,322284,4679,56098,,France,1953,7.78,,France,1953,,,4.04,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1963,1963,538.5,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1963,1963,121
France,1954,25136,340248,5028,61142,,France,1954,7.81,,France,1954,,,3.59,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1964,1964,573.9,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1964,1964,133.5
France,1955,27016,358329,5668,67633,,France,1955,7.89,,France,1955,,,3.16,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1965,1965,601.8,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1965,1965,141.1
France,1956,29782,376219,6377,72847,,France,1956,8.23,,France,1956,,,3.19,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1966,1966,633.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1966,1966,151.8
France,1957,33622,396988,7626,79984,,France,1957,8.16,,France,1957,,,5.35,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1967,1967,664.6,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1967,1967,163.3
France,1958,38817,407637,8754,83984,,France,1958,9.41,,France,1958,,,6.48,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1968,1968,694,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1968,1968,172.5
France,1959,42362,418500,9725,87815,,France,1959,9.96,,France,1959,,,4.07,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1969,1969,743.9,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1969,1969,185.9
France,1960,46951,451924,10573,93742,,France,1960,10.37,,France,1960,,,4.08,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1970,1970,789.2,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1970,1970,195.8
France,1961,50905,474389,12145,104640,,France,1961,10.62,,France,1961,,,3.65,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1971,1971,831.2,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1971,1971,209.3
France,1962,57057,506828,13488,111573,,France,1962,11.18,,France,1962,,,3.61,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1972,1972,869.4,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1972,1972,221.8
France,1963,63967,538337,15656,121040,,France,1963,11.73,,France,1963,,,3.98,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1973,1973,923.9,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1973,1973,237.2
France,1964,70951,574123,18011,133458,,France,1964,12.11,,France,1964,,,4.73,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1974,1974,963.6,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1974,1974,242.9
France,1965,76629,601895,19740,141076,,France,1965,12.44,,France,1965,,,4.21,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1975,1975,954,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1975,1975,231
France,1966,83045,633415,21655,151825,,France,1966,12.76,,France,1966,,,4.78,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1976,1976,995,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1976,1976,236.1
France,1967,89797,664566,23785,163315,,France,1967,13.12,,France,1967,,,4.8,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1977,1977,1029.8,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1977,1977,234.6
France,1968,97966,694375,25660,172512,,France,1968,13.72,,France,1968,,,6.14,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1978,1978,1070.9,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1978,1978,241.1
France,1969,112707,743805,29210,185927,,France,1969,14.55,,France,1969,,,8.96,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1979,1979,1108.6,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1979,1979,248.3
France,1970,126115,789343,32273,195791,,France,1970,15.40,,France,1970,,,8.68,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1980,1980,1126.6,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1980,1980,255.9
France,1971,140697,831539,36297,209261,,France,1971,16.23,,France,1971,,,5.84,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1981,1981,1138.8,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1981,1981,253.5
France,1972,157094,869304,40699,221792,,France,1972,17.21,,France,1972,,,4.95,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1982,1982,1167.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1982,1982,251.2
France,1973,180141,924161,47128,237174,,France,1973,18.48,,France,1973,,,8.91,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1983,1983,1182,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1983,1983,243.6
France,1974,210081,963820,56219,242942,,France,1974,21.00,,France,1974,,,12.91,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1984,1984,1200,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1984,1984,241.6
France,1975,236640,954373,59983,231006,,France,1975,23.46,,France,1975,,,7.92,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1985,1985,1219.5,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1985,1985,247.2
France,1976,273411,995547,68142,236140,,France,1976,25.72,,France,1976,,,8.56,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1986,1986,1248.2,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1986,1986,257.5
France,1977,307693,1029907,73946,234567,,France,1977,28.16,,France,1977,,,9.07,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1987,1987,1280.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1987,1987,270.8
France,1978,349630,1070885,82475,241134,,France,1978,30.76,,France,1978,,,7.98,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1988,1988,1341,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1988,1988,294.3
France,1979,399430,1108999,93925,248328,,France,1979,34.04,,France,1979,,,9.04,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1989,1989,1399.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1989,1989,316
France,1980,453211,1126612,110359,255944,,France,1980,38.65,,France,1980,,,11.84,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1990,1990,1440.1,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1990,1990,330.5
France,1981,511673,1138754,121981,253486,,France,1981,43.80,,France,1981,,,15.3,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1991,1991,1455.1,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1991,1991,328.8
France,1982,587952,1167320,136214,251229,,France,1982,49.05,,France,1982,,,14.87,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1992,1992,1478.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1992,1992,323.9
France,1983,652816,1181985,142727,243621,,France,1983,53.68,,France,1983,,,12.53,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1993,1993,1469.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1993,1993,306.3
France,1984,709648,1200004,150558,241582,,France,1984,57.80,,France,1984,,,11.74,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1994,1994,1503.7,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1994,1994,311
France,1985,760509,1219483,160486,247156,,France,1985,61.18,,France,1985,,,9.93,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1995,1995,1535.1,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1995,1995,315.2
France,1986,817854,1248156,172908,257498,,France,1986,62.73,,France,1986,,,7.74,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1996,1996,1556.4,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1996,1996,317.5
France,1987,859827,1280325,187078,270776,,France,1987,64.79,,France,1987,,,7.98,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1997,1997,1592.8,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1997,1997,320
France,1988,929444,1340935,209277,294300,,France,1988,66.54,,France,1988,,,7.52,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1998,1998,1649.4,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1998,1998,340.6
France,1989,1001897,1399309,230982,315976,,France,1989,68.87,,France,1989,,,9.07,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,1999,1999,1705.6,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,1999,1999,367.3
France,1990,1058627,1440085,246347,330539,,France,1990,71.20,,France,1990,,,9.85,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2000,2000,1771.7,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2000,2000,391.7
France,1991,1097112,1455049,253040,328773,,France,1991,73.49,,France,1991,,,9.49,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2001,2001,1806.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2001,2001,400.6
France,1992,1136841,1478325,249731,323885,,France,1992,75.23,,France,1992,,,10.35,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2002,2002,1826.5,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2002,2002,396.9
France,1993,1148404,1469268,236491,306272,,France,1993,76.81,,France,1993,,,8.75,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2003,2003,1841.5,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2003,2003,404.5
France,1994,1186345,1503728,240972,311036,,France,1994,78.09,,France,1994,,,5.69,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2004,2004,1892.8,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2004,2004,418.6
France,1995,1224967,1535082,244558,315171,,France,1995,79.47,,France,1995,,,6.35,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2005,2005,1923.2,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2005,2005,430.7
France,1996,1258950,1556389,248701,317540,,France,1996,81.07,,France,1996,,,3.73,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2006,2006,1968.9,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2006,2006,446.4
France,1997,1299739,1592767,252342,320044,,France,1997,82.06,,France,1997,,,3.24,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2007,2007,2015.4,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2007,2007,471.2
France,1998,1358776,1649409,269042,340559,,France,1998,82.55,,France,1998,,,3.39,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2008,2008,2019.3,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2008,2008,475.2
France,1999,1408159,1705606,291538,367262,,France,1999,82.99,,Germany,1950,,6,4.31,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2009,2009,1960,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2009,2009,432.1
France,2000,1485303,1771701,318108,391674,,France,2000,84.40,,Germany,1951,,6,6.02,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2010,2010,1998.5,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2010,2010,441.1
France,2001,1544629,1806328,330919,400584,,France,2001,85.77,,Germany,1952,,4.5,5.11,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2011,2011,2040,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2011,2011,450.2
France,2002,1594259,1826531,332704,396909,,France,2002,87.42,,Germany,1953,,3.5,3.58,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2012,2012,2043.8,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2012,2012,451.2
France,2003,1637438,1841500,343008,404526,,France,2003,89.26,,Germany,1954,,3,2.89,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2013,2013,2055.5,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2013,2013,447.6
France,2004,1710760,1892812,364057,418604,,France,2004,91.17,,Germany,1955,,3.5,3.13,,,FRA,France,NAEXKP01-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Domestic Product - Total ( Quantum (non-additive or stock figures) SA ),A,Annual,2014,2014,2075,,FRA,France,NAEXKP04-STSA,National Accounts>GDP by Expenditure>Constant Prices>Gross Fixed Capital Formation ( Quantum (non-additive or stock figures) SA ),A,Annual,2014,2014,447.7
