Country,Year,Total Deaths
Australia,1921,43499.6
Australia,1922,44052.1
Australia,1923,48039.2
Australia,1924,47275.6
Australia,1925,47313.5
Australia,1926,49757.5
Australia,1927,50994.9
Australia,1928,52271.1
Australia,1929,54235.8
Australia,1930,49262.5
Australia,1931,51564.2
Australia,1932,52173.3
Australia,1933,54717.5
Australia,1934,57454.8
Australia,1935,59168.9
Australia,1936,59152.8
Australia,1937,59960.8
Australia,1938,61842.6
Australia,1939,64447.7
Australia,1940,63528.6
Australia,1941,65831.7
Australia,1942,69789.6
Australia,1943,69072.4
Australia,1944,64789.5
Australia,1945,65513.7
Australia,1946,69544.1
Australia,1947,68264.9
Australia,1948,71895.3
Australia,1949,70671.7
Australia,1950,73520.3
Australia,1951,76908.4
Australia,1952,76798.9
Australia,1953,75473.6
Australia,1954,77257.6
Australia,1955,77462.8
Australia,1956,81478.9
Australia,1957,80234
Australia,1958,79161.5
Australia,1959,84321.9
Australia,1960,83819.5
Australia,1961,84270.8
Australia,1962,88321.4
Australia,1963,90286.7
Australia,1964,96412.5
Australia,1965,96224.4
Australia,1966,100353
Australia,1967,98835.8
Australia,1968,104956
Australia,1969,102133
Australia,1970,108813
Australia,1971,105373
Australia,1972,106284
Australia,1973,106796
Australia,1974,111786
Australia,1975,105605
Australia,1976,109664
Australia,1977,105517
Australia,1978,105985
Australia,1979,104324
Australia,1980,105869
Australia,1981,107106
Australia,1982,111669
Australia,1983,107807
Australia,1984,111043
Australia,1985,115428
Australia,1986,112215
Australia,1987,115953
Australia,1988,116971
Australia,1989,123145
Australia,1990,116922
Australia,1991,116782
Australia,1992,121199
Australia,1993,119281
Australia,1994,125502
Australia,1995,123787
Australia,1996,126894
Australia,1997,127447
Australia,1998,126237
Australia,1999,126778
Australia,2000,127668
Australia,2001,127568
Australia,2002,131966
Australia,2003,130777
Australia,2004,131230
Australia,2005,130187
Australia,2006,133167
Australia,2007,138475
Australia,2008,141235
Australia,2009,140044
Australia,2010,141490
Australia,2011,145502
Australia,2012,147888
Australia,2013,147060
Australia,2014,152774
Austria,1947,79269
Austria,1948,74821
Austria,1949,80716
Austria,1950,78585
Austria,1951,81953
Austria,1952,78025
Austria,1953,78264
Austria,1954,79609
Austria,1955,80048
Austria,1956,81813
Austria,1957,84048
Austria,1958,81106
Austria,1959,83020
Austria,1960,84876
Austria,1961,81371
Austria,1962,86480
Austria,1963,87362
Austria,1964,85168
Austria,1965,90600
Austria,1966,87830
Austria,1967,92072
Austria,1968,92795
Austria,1969,95626
Austria,1970,95911
Austria,1971,94502
Austria,1972,92701
Austria,1973,90437
Austria,1974,92039
Austria,1975,94115
Austria,1976,93547
Austria,1977,90963
Austria,1978,93338
Austria,1979,90738
Austria,1980,91139
Austria,1981,91504
Austria,1982,90126
Austria,1983,91970
Austria,1984,87448
Austria,1985,88601
Austria,1986,86178
Austria,1987,84057
Austria,1988,82547
Austria,1989,82669
Austria,1990,82243
Austria,1991,82720
Austria,1992,82444
Austria,1993,81899
Austria,1994,80106
Austria,1995,80690
Austria,1996,80339
Austria,1997,79034
Austria,1998,77939
Austria,1999,77859
Austria,2000,76402
Austria,2001,74402
Austria,2002,75813
Austria,2003,76866
Austria,2004,73939
Austria,2005,74862
Austria,2006,74014
Austria,2007,74345
Austria,2008,74796
Austria,2009,77092
Austria,2010,76892
Austria,2011,76198
Austria,2012,79184
Austria,2013,79281
Austria,2014,78003
Belgium,1841,67837
Belgium,1842,81477
Belgium,1843,77306
Belgium,1844,76373.9
Belgium,1845,77959
Belgium,1846,86881
Belgium,1847,101674
Belgium,1848,91265
Belgium,1849,101844
Belgium,1850,74315.9
Belgium,1851,74889
Belgium,1852,76021.1
Belgium,1853,81770
Belgium,1854,83468.1
Belgium,1855,91514
Belgium,1856,77497.1
Belgium,1857,79334
Belgium,1858,84117
Belgium,1859,85905.9
Belgium,1860,72807.9
Belgium,1861,82286
Belgium,1862,78225
Belgium,1863,83507
Belgium,1864,90213
Belgium,1865,92773.1
Belgium,1866,125134
Belgium,1867,82922.5
Belgium,1868,85448.9
Belgium,1869,88903
Belgium,1870,94430
Belgium,1871,118223
Belgium,1872,95835.1
Belgium,1873,88591
Belgium,1874,85771
Belgium,1875,94678.1
Belgium,1876,96902
Belgium,1877,91364
Belgium,1878,89922
Belgium,1879,93229
Belgium,1880,91265
Belgium,1881,89868
Belgium,1882,87617
Belgium,1883,92240
Belgium,1884,91313.5
Belgium,1885,91553.2
Belgium,1886,93662.9
Belgium,1887,89804.1
Belgium,1888,92068.6
Belgium,1889,91381.9
Belgium,1890,97157.5
Belgium,1891,99244.2
Belgium,1892,103681
Belgium,1893,95344
Belgium,1894,90649.5
Belgium,1895,93646.4
Belgium,1896,86933.5
Belgium,1897,85185.5
