,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,6.65,6.71,5.83,6.93,9.04,9.74,10.03,10.23,9.06,9.75,11.65,13.96,15.38,13.89,13.53,13.95,13.42,13.19,12.10,13.41,13.18,10.69,9.22,7.28,9.04,9.21,8.21,6.95,5.49,6.01,6.31,5.62,5.84,5.37,5.59,5.34,5.59,5.99,5.82,5.04,5.37,4.88,3.38,3.70,3.66,2.71,2.33
Austria,7.81,7.71,7.36,8.25,9.74,9.61,8.75,8.74,8.21,7.96,9.24,10.61,9.92,8.17,8.02,7.77,7.44,7.01,6.86,7.15,8.77,8.56,8.18,6.71,7.03,7.13,6.32,5.68,4.71,4.68,5.56,5.08,4.96,4.14,4.13,3.39,3.80,4.30,4.36,3.94,3.23,3.32,2.37,2.01,1.49,0.75,0.38
Belgium,7.71,7.29,6.96,7.35,8.57,8.44,8.94,8.70,8.35,9.40,11.90,13.44,13.43,11.94,12.24,10.97,8.63,8.18,8.01,8.54,10.01,9.29,8.65,7.23,7.75,7.48,6.49,5.75,4.75,4.75,5.59,5.13,4.99,4.18,4.15,3.43,3.82,4.33,4.42,3.90,3.46,4.23,3.00,2.41,1.71,0.84,0.48
Canada,7.91,6.95,7.23,7.56,8.90,9.04,9.18,8.70,9.27,10.21,12.48,15.22,14.26,11.79,12.75,11.04,9.52,9.95,10.22,9.92,10.85,9.76,8.77,7.85,8.63,8.28,7.50,6.42,5.47,5.69,5.89,5.78,5.66,5.28,5.08,4.39,4.30,4.34,4.04,3.89,3.66,3.21,2.33,2.72,2.60,2.02,1.80
Denmark,10.57,10.67,10.37,11.07,14.55,13.10,13.21,13.37,14.54,15.82,17.66,18.92,20.38,14.46,14.43,11.58,10.05,11.28,9.88,9.71,10.63,9.26,8.99,7.30,7.83,8.27,7.19,6.25,4.94,4.91,5.64,5.08,5.06,4.31,4.31,3.40,3.81,4.29,4.28,3.59,2.93,2.73,1.40,1.75,1.33,0.69,0.32
Finland,,,,,,,,,,,,,,,,,,,10.56,12.09,13.30,11.68,11.97,8.83,9.04,8.79,7.08,5.96,4.79,4.72,5.48,5.04,4.98,4.13,4.11,3.35,3.78,4.29,4.29,3.74,3.01,3.01,1.88,1.86,1.45,0.72,0.36
France,8.12,7.79,7.42,8.33,10.56,9.64,9.39,9.94,9.57,9.88,13.13,15.85,15.65,13.59,12.49,11.12,8.54,9.48,9.08,8.80,9.93,9.04,8.59,6.78,7.22,7.54,6.31,5.58,4.64,4.61,5.39,4.94,4.86,4.13,4.10,3.41,3.80,4.30,4.23,3.65,3.12,3.32,2.54,2.20,1.67,0.84,0.47
Germany,8.30,7.98,7.86,9.31,10.37,8.47,7.79,6.15,5.72,7.41,8.49,10.11,8.97,8.02,7.95,6.95,5.89,6.14,6.49,6.90,8.70,8.46,7.85,6.51,6.87,6.85,6.22,5.64,4.57,4.49,5.26,4.80,4.78,4.07,4.04,3.35,3.76,4.22,3.98,3.22,2.74,2.61,1.50,1.57,1.16,0.50,0.09
Greece,,,,,,,,,,,,,,,18.46,15.77,15.78,,16.56,,,,,23.27,20.70,16.96,14.43,9.92,8.48,6.30,6.10,5.30,5.12,4.27,4.26,3.59,4.07,4.50,4.80,5.17,9.09,15.75,22.50,10.05,6.93,9.81,8.36
Iceland,,,,,,,,,,,,,,,,,,,,,,,7.75,6.80,5.02,7.18,5.61,5.49,4.73,4.28,5.35,5.33,5.23,4.41,3.88,3.73,4.32,4.96,4.30,4.30,3.49,2.95,2.28,2.55,3.20,2.66,2.78
Ireland,9.85,8.47,9.45,12.32,16.84,14.62,15.47,11.29,12.82,15.05,15.34,17.24,17.04,13.88,14.60,12.63,11.06,11.26,9.48,8.94,10.08,9.21,9.07,7.70,7.92,8.26,7.29,6.29,4.80,4.71,5.51,5.01,5.01,4.13,4.08,3.33,3.77,4.31,4.53,5.23,5.74,9.60,6.17,3.79,2.37,1.18,0.74
Italy,9.01,8.34,7.47,7.42,9.87,11.54,13.08,14.62,13.70,14.05,15.25,19.36,20.22,18.30,15.60,13.71,11.47,10.64,10.90,12.79,13.54,13.28,13.27,11.19,10.52,12.21,9.40,6.86,4.88,4.73,5.58,5.19,5.04,4.25,4.26,3.56,4.05,4.49,4.68,4.31,4.04,5.42,5.49,4.32,2.89,1.71,1.49
Japan,7.19,7.28,6.69,7.26,9.26,9.20,8.72,7.33,6.09,7.69,9.21,8.66,8.05,7.42,6.80,6.34,4.94,4.21,4.27,5.05,7.36,6.53,4.94,3.69,3.71,2.53,2.23,1.69,1.10,1.77,1.75,1.33,1.25,1.01,1.50,1.36,1.73,1.65,1.45,1.34,1.15,1.12,0.84,0.70,0.53,0.35,-0.07
