Country,Year,CPI
Australia,1950,4.55
Australia,1951,5.45
Australia,1952,6.39
Australia,1953,6.66
Australia,1954,6.71
Australia,1955,6.85
Australia,1956,7.27
Australia,1957,7.45
Australia,1958,7.55
Australia,1959,7.69
Australia,1960,7.98
Australia,1961,8.18
Australia,1962,8.16
Australia,1963,8.2
Australia,1964,8.4
Australia,1965,8.73
Australia,1966,8.99
Australia,1967,9.28
Australia,1968,9.52
Australia,1969,9.8
Australia,1970,10.18
Australia,1971,10.8
Australia,1972,11.44
Australia,1973,12.52
Australia,1974,14.41
Australia,1975,16.58
Australia,1976,18.82
Australia,1977,21.14
Australia,1978,22.81
Australia,1979,24.89
Australia,1980,27.41
Australia,1981,30.06
Australia,1982,33.41
Australia,1983,36.79
Australia,1984,38.25
Australia,1985,40.83
Australia,1986,44.53
Australia,1987,48.31
Australia,1988,51.81
Australia,1989,55.72
Australia,1990,59.78
Australia,1991,61.7
Australia,1992,62.31
Australia,1993,63.44
Australia,1994,64.64
Australia,1995,67.64
Australia,1996,69.41
Australia,1997,69.58
Australia,1998,70.18
Australia,1999,71.21
Australia,2000,74.39
Australia,2001,77.65
Australia,2002,79.98
Australia,2003,82.2
Australia,2004,84.13
Australia,2005,86.37
Australia,2006,89.43
Australia,2007,91.51
Australia,2008,95.5
Australia,2009,97.23
Australia,2010,100
Australia,2011,103.3
Australia,2012,105.12
Australia,2013,107.7
Australia,2014,110.38
Australia,2015,112.04
Australia,2016,113.48
Austria,1950,10.71
Austria,1951,13.65
Austria,1952,15.51
Austria,1953,15.25
Austria,1954,15.86
Austria,1955,15.86
Austria,1956,16.47
Austria,1957,16.93
Austria,1958,17.26
Austria,1959,17.45
Austria,1960,17.79
Austria,1961,18.42
Austria,1962,19.22
Austria,1963,19.75
Austria,1964,20.51
Austria,1965,21.52
Austria,1966,21.99
Austria,1967,22.87
Austria,1968,23.5
Austria,1969,24.23
Austria,1970,25.29
Austria,1971,26.48
Austria,1972,28.16
Austria,1973,30.28
Austria,1974,33.16
Austria,1975,35.96
Austria,1976,38.6
Austria,1977,40.71
Austria,1978,42.17
Austria,1979,43.73
Austria,1980,46.49
Austria,1981,49.66
Austria,1982,52.36
Austria,1983,54.11
Austria,1984,57.17
Austria,1985,59
Austria,1986,60
Austria,1987,60.84
Austria,1988,62.02
Austria,1989,63.61
Austria,1990,65.68
Austria,1991,67.87
Austria,1992,70.61
Austria,1993,73.17
Austria,1994,75.33
Austria,1995,77.03
Austria,1996,78.45
Austria,1997,79.47
Austria,1998,80.2
Austria,1999,80.65
Austria,2000,82.59
Austria,2001,84.79
Austria,2002,86.31
Austria,2003,87.48
Austria,2004,89.29
Austria,2005,91.35
Austria,2006,92.67
Austria,2007,94.68
Austria,2008,97.72
Austria,2009,98.22
Austria,2010,100
Austria,2011,103.27
Austria,2012,105.83
Austria,2013,107.95
Austria,2014,109.68
Austria,2015,110.67
Austria,2016,111.65
Belgium,1950,12.83
Belgium,1951,14.06
Belgium,1952,14.19
Belgium,1953,14.14
Belgium,1954,14.33
Belgium,1955,14.26
Belgium,1956,14.66
Belgium,1957,15.12
Belgium,1958,15.32
Belgium,1959,15.51
Belgium,1960,15.55
Belgium,1961,15.71
Belgium,1962,15.93
Belgium,1963,16.27
Belgium,1964,16.95
Belgium,1965,17.64
Belgium,1966,18.38
Belgium,1967,18.91
Belgium,1968,19.42
Belgium,1969,20.15
Belgium,1970,20.94
Belgium,1971,21.85
Belgium,1972,23.04
Belgium,1973,24.64
Belgium,1974,27.76
Belgium,1975,31.31
Belgium,1976,34.17
Belgium,1977,36.61
Belgium,1978,38.24
Belgium,1979,39.95
Belgium,1980,42.61
Belgium,1981,45.86
Belgium,1982,49.86
Belgium,1983,53.68
Belgium,1984,57.09
Belgium,1985,59.87
Belgium,1986,60.64
Belgium,1987,61.58
Belgium,1988,62.3
Belgium,1989,64.24
Belgium,1990,66.45
Belgium,1991,68.59
Belgium,1992,70.25
Belgium,1993,72.19
Belgium,1994,73.9
Belgium,1995,74.99
Belgium,1996,76.53
Belgium,1997,77.78
Belgium,1998,78.52
Belgium,1999,79.4
Belgium,2000,81.42
Belgium,2001,83.43
Belgium,2002,84.8
Belgium,2003,86.15
Belgium,2004,87.95
Belgium,2005,90.4
Belgium,2006,92.02
Belgium,2007,93.7
Belgium,2008,97.91
Belgium,2009,97.86
Belgium,2010,100
Belgium,2011,103.53
Belgium,2012,106.47
Belgium,2013,107.65
Belgium,2014,108.02
Belgium,2015,108.62
Belgium,2016,110.77
Canada,1950,10.72
Canada,1951,11.84
Canada,1952,12.14
Canada,1953,12.03
Canada,1954,12.1
Canada,1955,12.12
Canada,1956,12.3
Canada,1957,12.69
Canada,1958,13.02
Canada,1959,13.17
Canada,1960,13.34
Canada,1961,13.45
Canada,1962,13.61
Canada,1963,13.85
Canada,1964,14.1
Canada,1965,14.45
Canada,1966,14.99
Canada,1967,15.52
Canada,1968,16.16
Canada,1969,16.89
Canada,1970,17.45
Canada,1971,17.95
Canada,1972,18.81
Canada,1973,20.24
Canada,1974,22.44
Canada,1975,24.86
Canada,1976,26.73
Canada,1977,28.87
Canada,1978,31.44
