Country,Year,Bond Rate
Austria,1965,6.52
Austria,1966,6.93
Austria,1967,7.24
Austria,1968,7.74
Austria,1969,7.52
Austria,1970,7.81
Austria,1971,7.71
Austria,1972,7.36
Austria,1973,8.25
Austria,1974,9.74
Austria,1975,9.61
Austria,1976,8.75
Austria,1977,8.74
Austria,1978,8.21
Austria,1979,7.96
Austria,1980,9.24
Austria,1981,10.61
Austria,1982,9.92
Austria,1983,8.17
Austria,1984,8.02
Austria,1985,7.77
Austria,1986,7.44
Austria,1987,7.01
Austria,1988,6.86
Austria,1989,7.15
Austria,1990,8.77
Austria,1991,8.56
Austria,1992,8.18
Austria,1993,6.71
Austria,1994,7.03
Austria,1995,7.13
Austria,1996,6.32
Austria,1997,5.68
Austria,1998,4.71
Austria,1999,4.68
Austria,2000,5.56
Austria,2001,5.08
Austria,2002,4.96
Austria,2003,4.14
Austria,2004,4.13
Austria,2005,3.39
Austria,2006,3.80
Austria,2007,4.30
Austria,2008,4.36
Austria,2009,3.94
Austria,2010,3.23
Austria,2011,3.32
Austria,2012,2.37
Austria,2013,2.01
Austria,2014,1.49
Austria,2015,0.75
Austria,2016,0.38
Belgium,1950,5.03
Belgium,1951,5.24
Belgium,1952,5.80
Belgium,1953,5.61
Belgium,1954,5.33
Belgium,1955,5.24
Belgium,1956,5.32
Belgium,1957,6.81
Belgium,1958,6.30
Belgium,1959,5.67
Belgium,1960,6.23
Belgium,1961,6.71
Belgium,1962,5.96
Belgium,1963,5.66
Belgium,1964,6.34
Belgium,1965,6.36
Belgium,1966,6.55
Belgium,1967,6.62
Belgium,1968,6.46
Belgium,1969,7.11
Belgium,1970,7.71
Belgium,1971,7.29
Belgium,1972,6.96
Belgium,1973,7.35
Belgium,1974,8.57
Belgium,1975,8.44
Belgium,1976,8.94
Belgium,1977,8.70
Belgium,1978,8.35
Belgium,1979,9.40
Belgium,1980,11.90
Belgium,1981,13.44
Belgium,1982,13.43
Belgium,1983,11.94
Belgium,1984,12.24
Belgium,1985,10.97
Belgium,1986,8.63
Belgium,1987,8.18
Belgium,1988,8.01
Belgium,1989,8.54
Belgium,1990,10.01
Belgium,1991,9.29
Belgium,1992,8.65
Belgium,1993,7.23
Belgium,1994,7.75
Belgium,1995,7.48
Belgium,1996,6.49
Belgium,1997,5.75
Belgium,1998,4.75
Belgium,1999,4.75
Belgium,2000,5.59
Belgium,2001,5.13
Belgium,2002,4.99
Belgium,2003,4.18
Belgium,2004,4.15
Belgium,2005,3.43
Belgium,2006,3.82
Belgium,2007,4.33
Belgium,2008,4.42
Belgium,2009,3.90
Belgium,2010,3.46
Belgium,2011,4.23
Belgium,2012,3.00
Belgium,2013,2.41
Belgium,2014,1.71
Belgium,2015,0.84
Belgium,2016,0.48
Canada,1950,2.86
Canada,1951,3.23
Canada,1952,3.56
Canada,1953,3.71
Canada,1954,3.18
Canada,1955,3.14
Canada,1956,3.63
Canada,1957,4.11
Canada,1958,4.15
Canada,1959,5.08
Canada,1960,5.19
Canada,1961,5.05
Canada,1962,5.11
Canada,1963,5.09
Canada,1964,5.18
Canada,1965,5.21
Canada,1966,5.69
Canada,1967,5.94
