Country,Year,NGDP,RGDP,NGFCF,RGFCF
Australia,1959,16602,245458,5016,38448
Australia,1960,17560,251533,5308,40615
Australia,1961,17779,254870,5302,41470
Australia,1962,19222,270705,5687,44062
Australia,1963,21240,289588,6389,48195
Australia,1964,23182,306901,7217,51800
Australia,1965,24366,314158,7872,56012
Australia,1966,27163,333943,8548,58866
Australia,1967,29187,350946,9490,63192
Australia,1968,32733,375690,10282,67234
Australia,1969,36881,402617,11617,69441
Australia,1970,40344,418735,12374,71677
Australia,1971,44515,435115,13400,73691
Australia,1972,49782,446425,14484,75929
Australia,1973,60323,464714,17203,79210
Australia,1974,71199,470908,18431,74138
Australia,1975,83276,483109,21856,76667
Australia,1976,96130,500538,24817,79640
Australia,1977,104974,505034,27656,82678
Australia,1978,118659,525518,31690,90757
Australia,1979,134524,541559,35555,93367
Australia,1980,152282,559736,43267,105296
Australia,1981,175781,578316,50928,112950
Australia,1982,189313,565414,50295,102240
Australia,1983,213667,591597,55648,107447
Australia,1984,235280,622652,63642,117779
Australia,1985,260590,648182,73426,124760
Australia,1986,286185,664895,80013,125249
Australia,1987,324545,703305,90139,134631
Australia,1988,368358,730599,105726,149049
Australia,1989,404698,756395,111976,150376
Australia,1990,415444,753556,102080,136198
Australia,1991,423498,756845,96713,130990
Australia,1992,444569,787588,104375,139752
Australia,1993,467210,819498,111870,147830
Australia,1994,496150,851371,124511,164114
Australia,1995,529598,884990,127821,168632
Australia,1996,557246,919926,133899,179825
Australia,1997,589394,960772,148287,197231
Australia,1998,621000,1008876,157999,206224
Australia,1999,661515,1047898,171978,222710
Australia,2000,706042,1068123,164207,205010
Australia,2001,754228,1109277,183573,223396
Australia,2002,801587,1143313,208950,251446
Australia,2003,862219,1190711,229241,272895
Australia,2004,922845,1228856,249374,290110
Australia,2005,998458,1265452,279651,317137
Australia,2006,1087440,1312903,301767,333164
Australia,2007,1178809,1361456,338813,364915
Australia,2008,1259280,1386125,354929,372563
Australia,2009,1297508,1413929,359677,380402
Australia,2010,1410442,1447479,376346,394785
Australia,2011,1491741,1500084,417382,438052
Australia,2012,1527529,1538634,432360,450188
Australia,2013,1589940,1578784,434443,443866
Australia,2014,1617016,1617016,430992,430992
Australia,2015,1654864,1661739,421979,413995
Austria,1970,28977.3196,110027.9948,7928.5324,27940.0763
Austria,1971,32349.3212,115653.8684,9537.4093,31793.1421
Austria,1972,36968.6704,122833.4998,11822.6346,35652.043
Austria,1973,41896.3874,128836.7421,12643.3903,35776.5237
Austria,1974,47685.9923,133917.7416,14336.3009,37196.3814
Austria,1975,50580.7948,133432.5533,14271.032,35354.4564
Austria,1976,55872.0003,139539.7645,15395.7773,36704.2937
Austria,1977,61762.4665,146628.3578,17551.861,39982.7705
Austria,1978,65325.9984,146319.48,17271.3128,37394.864
Austria,1979,71657.0452,154157.3754,19141.9016,39573.4654
Austria,1980,76965.9311,156826.5878,21120.0698,40888.4481
Austria,1981,82016.9599,156600.2957,22431.3756,40865.5969
Austria,1982,88147.1148,159749.926,21746.9502,37463.6079
Austria,1983,93919.9757,164499.4319,22355.0827,37302.5455
Austria,1984,98619.3429,164583.7794,22980.7167,37211.1025
Austria,1985,104078.6235,168696.1989,24910.904,39511.3509
Austria,1986,109615.9232,172578.561,26006.5129,40256.5445
Austria,1987,113811.1325,174920.742,27649.6305,42015.9326
Austria,1988,119357.2154,180685.9202,29891.9317,44982.6891
Austria,1989,127672.9259,187709.317,32302.2611,46989.3413
Austria,1990,137217.3419,195866.4911,34988.7115,49570.1545
Austria,1991,147109.1186,202607.4859,39100.324,53694.2268
Austria,1992,155414.0955,206849.1237,40664.9319,53767.7585
Austria,1993,160540.303,207938.8245,41178.7621,53109.6788
Austria,1994,168547.5938,212933.762,44322.5058,55842.6031
Austria,1995,176183.3,218614.8,44803.13,55949.78
Austria,1996,182132.75,223857.87,47212.29,58400.01
Austria,1997,188309.68,228793.98,48070.18,58787.28
Austria,1998,195828.19,236938.97,50099.13,60784.26
Austria,1999,203418.33,245445.05,50939.31,61491.04
Austria,2000,213196.12,253712.64,54786.54,65092.28
Austria,2001,220095.68,257139.07,54672.53,64262.27
Austria,2002,226302.65,261396.92,53305.99,62379.9
Austria,2003,230999.23,263373.49,55822.26,64747.08
Austria,2004,241505.02,270499.7,57091.82,65351.7
Austria,2005,253009.25,276290.24,58474.63,65504
Austria,2006,266478,285548.26,60419.72,66241.97
Austria,2007,282346.91,295889.42,64933.95,69286.31
Austria,2008,291930.39,300467.61,68247.2,70271.42
Austria,2009,286188.36,289052.62,64342.07,65120.9
Austria,2010,294627.5,294627.5,63763.7,63763.7
Austria,2011,308630.28,302900.64,69417.86,68048.67
Austria,2012,317116.96,305159.54,71924.57,68983.05
Austria,2013,322539.23,305538.62,74623.87,70477.77
Austria,2014,330417.6,307508.87,75132.92,69866.02
Austria,2015,339896.04,310470.36,76844.51,70368.57
Belgium,1970,33279.5507,155658.4138,9002.108,37885.517
Belgium,1971,36460.2813,161500.3073,9588.1099,37165.4815
Belgium,1972,40816.5525,169988.1929,10372.6333,38427.1762
Belgium,1973,46377.0285,180395.4268,11814.3761,41126.0599
Belgium,1974,54395.2063,187971.375,14701.7936,43979.4525
Belgium,1975,60199.379,185476.9943,16078.8619,43158.2274
Belgium,1976,68420.339,195961.5469,17890.2807,44881.7374
Belgium,1977,73997.3072,197188.5317,18966.9086,44900.5613
Belgium,1978,79466.3376,202792.4575,20368.8904,46141.7209
Belgium,1979,84990.6673,207539.9466,20795.8801,44886.0606
Belgium,1980,92430.7833,216836.701,23049.9763,50537.2845
Belgium,1981,96909.5728,216231.1117,20991.1805,42686.902
Belgium,1982,104866.2816,217517.6585,21384.2948,40979.4259
Belgium,1983,111097.641,218195.9715,20896.8331,38802.5013
Belgium,1984,120029.0466,223577.5191,22150.3061,39711.3423
Belgium,1985,127658.0647,227270.5566,24141.7108,41484.6557
Belgium,1986,133620.3617,231413.1582,25059.3519,42757.033
Belgium,1987,139004.7503,236751.0717,26687.9683,44872.4141
Belgium,1988,148727.6391,247933.3194,31494.0715,52060.1299
Belgium,1989,161269.9248,256534.5398,37003.2876,58178.7051
Belgium,1990,171007.4708,264583.0608,41202.8715,63170.89
Belgium,1991,179151.581,269433.0648,40305.4477,60553.1417
Belgium,1992,188122.7702,273557.155,41768.9561,61210.0834
Belgium,1993,193753.1887,270925.8823,41500.5152,59668.6318
Belgium,1994,204194.2751,279668.5833,42670.8726,59897.6312
Belgium,1995,211616,286338,45143,61930
Belgium,1996,215942,290901,45993,62452
Belgium,1997,225969,301694,49602,66601
Belgium,1998,234490,307654,51438,68237
Belgium,1999,244226,318616,54369,70811
Belgium,2000,258222,330194,58075,73902
Belgium,2001,265788,332874,59579,75107
Belgium,2002,275065,338800,56834,71867
Belgium,2003,282637,341424,57771,71577
Belgium,2004,298711,353834,63782,77935
Belgium,2005,311481,361245,69018,82665
Belgium,2006,326662,370273,72994,84283
Belgium,2007,344713,382853,80096,89976
Belgium,2008,354066,385714,84890,91682
Belgium,2009,348781,376900,78782,85601
Belgium,2010,365101,387058,79665,84894
Belgium,2011,379106,394012,85612,88474
Belgium,2012,387500,394552,87674,88647
Belgium,2013,391731,394306,86938,87252
Belgium,2014,400797,400797,91644,91644
Belgium,2015,410247,406713,94324,93972
Canada,1970,91842.6299,517541.2448,19966.5061,89419.0473
Canada,1971,100244.8267,538851.8213,22639.6802,96275.0608
Canada,1972,111940.6845,568196.9133,25028.4519,100472.3985
Canada,1973,131334.9914,607767.2993,30187.282,109377.396
Canada,1974,156879.7063,630199.9152,37519.238,116078.7302
Canada,1975,176823.9751,641688.2904,43749.0046,122152.5391
Canada,1976,203683.5065,675051.6053,48791.1568,127816.1371
Canada,1977,225049.5289,698396.4465,52498.8055,130201.7095
Canada,1978,249394.5119,726008.1874,57271.1401,132466.4161
Canada,1979,284734.6605,753632.239,66494.945,141665.6424
Canada,1980,320189.8938,769930.4172,75984.4005,147566.0884
Canada,1981,367121,796902,92162,158549
Canada,1982,386773,771385,87607,141416
Canada,1983,419691,791430,88575,140474
Canada,1984,460243,838325,93135,143558
Canada,1985,498075,878012,103538,155722
Canada,1986,524450,896993,110785,161904
Canada,1987,571926,933738,125550,176603
Canada,1988,624401,975097,141858,192738
Canada,1989,669026,997758,154204,202665
Canada,1990,692997,999298,150956,195611
Canada,1991,699253,978056,142205,187349
Canada,1992,716019,986692,139271,181837
Canada,1993,744608,1012891,139372,179723
Canada,1994,789507,1058405,153597,191770
Canada,1995,828973,1086746,152580,189152
Canada,1996,857023,1104254,161707,200070
Canada,1997,903902,1151514,184101,223433
Canada,1998,937295,1196213,193327,230662
Canada,1999,1004456,1257976,203502,242502
Canada,2000,1102380,1323173,216781,254783
Canada,2001,1140505,1346604,230644,267063
Canada,2002,1189452,1387137,238438,269723
Canada,2003,1250315,1412137,251104,283801
Canada,2004,1331178,1455715,278827,307736
Canada,2005,1417028,1502318,310435,335817
Canada,2006,1492207,1541730,342494,356905
Canada,2007,1573532,1573532,368210,368210
Canada,2008,1652923,1589273,388891,374199
Canada,2009,1567365,1542396,350517,331863
Canada,2010,1662130,1589956,390875,370062
Canada,2011,1769921,1639900,417091,387224
Canada,2012,1822808,1668524,447559,406154
Canada,2013,1897531,1709820,460101,411367
Canada,2014,1983117,1753682,479374,414945
Canada,2015,1986193,1770196,470532,396026
Denmark,1966,82414,702375,20242,114728
Denmark,1967,90846,741219,22454,124490
Denmark,1968,101292,782379,24369,130584
Denmark,1969,115612,833307,29252,146961
Denmark,1970,128066,846613,32314,151314
Denmark,1971,141736,872054,34988,152503
Denmark,1972,161449,906320,41684,167398
Denmark,1973,185905,943415,47782,176327
Denmark,1974,208204,932826,51704,163697
Denmark,1975,232574,919239,51929,147987
Denmark,1976,269461,973700,65193,172674
Denmark,1977,298865,991911,70043,171650
Denmark,1978,332877,1013994,76563,175175
Denmark,1979,370197,1053226,82687,176213
Denmark,1980,400868,1048139,81988,159823
Denmark,1981,440780,1041157,75909,133061
Denmark,1982,503384,1079520,90014,144103
Denmark,1983,554597,1107545,100537,150454
Denmark,1984,612129,1153687,116368,166024
Denmark,1985,663955,1199877,137229,189055
Denmark,1986,712645,1258722,160946,223579
Denmark,1987,748427,1261922,167489,230586
Denmark,1988,777844,1261750,162142,217489
Denmark,1989,821734,1269891,170659,221993
Denmark,1990,855557,1288625,174675,221455
Denmark,1991,890551,1306584,174331,216305
Denmark,1992,923014,1332154,172464,215195
Denmark,1993,928466,1332296,167674,209507
Denmark,1994,993286,1403340,181782,223880
Denmark,1995,1036483,1445828,201853,247534
Denmark,1996,1088024,1487758,213306,260697
Denmark,1997,1146129,1536272,238568,287308
Denmark,1998,1185988,1570349,255772,306403
Denmark,1999,1241521,1616643,259726,305602
Denmark,2000,1326912,1677217,285387,330559
Denmark,2001,1371526,1691023,292181,329015
Denmark,2002,1410271,1698909,291065,321470
Denmark,2003,1436751,1705536,297399,326737
Denmark,2004,1506001,1751043,311180,338228
Denmark,2005,1585984,1791959,335806,358328
Denmark,2006,1682260,1862078,391508,407306
Denmark,2007,1738845,1879009,408862,410119
Denmark,2008,1801470,1869388,413328,399880
Denmark,2009,1722143,1777666,347337,348026
Denmark,2010,1810926,1810926,328025,328025
Denmark,2011,1846854,1835134,335356,329300
Denmark,2012,1895002,1839290,355838,341593
Denmark,2013,1929677,1856457,367650,350928
Denmark,2014,1977255,1887570,378789,363036
Denmark,2015,2027171,1917886,389920,371993
Finland,1970,8028.9096,63903.4715,2239.3773,18650.3814
Finland,1971,8823.3367,65409.6254,2576.7189,19328.9228
Finland,1972,10289.5348,70469.3775,3051.9197,20596.2235
Finland,1973,12524.1837,75390.8376,3835.7634,22348.3474
Finland,1974,15783.2618,77830.8874,5012.9375,23059.2104
Finland,1975,18248.2568,79235.6553,6104.3676,24437.2071
Finland,1976,20714.3743,79508.5294,6190.7452,22649.1824
Finland,1977,22719.6772,79698.9606,6627.9001,21877.8521
Finland,1978,25126.0408,82025.9376,6500.4405,20202.0684
Finland,1979,29150.8256,87867.7645,7345.2555,21020.3833
Finland,1980,33682,92603,9195,23290
Finland,1981,38094,93802,10325,23903
Finland,1982,42831,96698,11735,25373
Finland,1983,47790,99716,13272,26409
Finland,1984,53498,102921,14071,26244
Finland,1985,58285,106561,15523,27551
Finland,1986,62740,109466,16383,28078
Finland,1987,67751,113362,18226,29672
Finland,1988,76754,119268,21614,32879
Finland,1989,85929,125336,26244,36737
Finland,1990,91010,126183,26993,35420
Finland,1991,86962,118720,22483,29430
Finland,1992,84852,114773,18841,25383
Finland,1993,85748,113930,16411,22208
Finland,1994,90768,118418,16924,22395
Finland,1995,98556,123400,18996,25203
Finland,1996,102060,127915,20928,27726
Finland,1997,110738,135912,23668,30744
Finland,1998,120382,143290,26755,34025
Finland,1999,126923,149658,28482,35565
Finland,2000,136261,158091,31457,37776
Finland,2001,144437,162171,33080,38440
Finland,2002,148289,164896,32071,37304
Finland,2003,151569,168184,33052,38349
Finland,2004,158477,174787,35333,40137
Finland,2005,164387,179646,37739,41441
Finland,2006,172614,186931,39334,41983
Finland,2007,186584,196623,45103,46171
Finland,2008,193711,198040,47245,46298
Finland,2009,181029,181664,41187,40489
Finland,2010,187100,187100,40933,40933
Finland,2011,196869,191910,43779,42610
Finland,2012,199793,189173,44610,41782
Finland,2013,203338,187739,43083,39719
Finland,2014,205474,186553,42235,38695
Finland,2015,209581,186537,42713,38963
France,1950,15539,285593,2810,48498
France,1951,19575,302109,3667,53147
France,1952,22814,311509,4468,53627
France,1953,23663,322284,4679,56098
France,1954,25136,340248,5028,61142
France,1955,27016,358329,5668,67633
France,1956,29782,376219,6377,72847
France,1957,33622,396988,7626,79984
France,1958,38817,407637,8754,83984
France,1959,42362,418500,9725,87815
France,1960,46951,451924,10573,93742
France,1961,50905,474389,12145,104640
France,1962,57057,506828,13488,111573
France,1963,63967,538337,15656,121040
France,1964,70951,574123,18011,133458
France,1965,76629,601895,19740,141076
France,1966,83045,633415,21655,151825
France,1967,89797,664566,23785,163315
France,1968,97966,694375,25660,172512
France,1969,112707,743805,29210,185927
France,1970,126115,789343,32273,195791
France,1971,140697,831539,36297,209261
France,1972,157094,869304,40699,221792
France,1973,180141,924161,47128,237174
France,1974,210081,963820,56219,242942
France,1975,236640,954373,59983,231006
France,1976,273411,995547,68142,236140
France,1977,307693,1029907,73946,234567
France,1978,349630,1070885,82475,241134
France,1979,399430,1108999,93925,248328
France,1980,453211,1126612,110359,255944
France,1981,511673,1138754,121981,253486
France,1982,587952,1167320,136214,251229
France,1983,652816,1181985,142727,243621
France,1984,709648,1200004,150558,241582
France,1985,760509,1219483,160486,247156
France,1986,817854,1248156,172908,257498
France,1987,859827,1280325,187078,270776
France,1988,929444,1340935,209277,294300
France,1989,1001897,1399309,230982,315976
France,1990,1058627,1440085,246347,330539
France,1991,1097112,1455049,253040,328773
France,1992,1136841,1478325,249731,323885
France,1993,1148404,1469268,236491,306272
France,1994,1186345,1503728,240972,311036
France,1995,1224967,1535082,244558,315171
France,1996,1258950,1556389,248701,317540
France,1997,1299739,1592767,252342,320044
France,1998,1358776,1649409,269042,340559
France,1999,1408159,1705606,291538,367262
France,2000,1485303,1771701,318108,391674
France,2001,1544629,1806328,330919,400584
France,2002,1594259,1826531,332704,396909
France,2003,1637438,1841500,343008,404526
France,2004,1710760,1892812,364057,418604
France,2005,1771978,1923243,384922,430741
France,2006,1853267,1968919,414923,446443
France,2007,1945670,2015415,450059,471153
France,2008,1995850,2019351,470123,475172
France,2009,1939017,1959955,427320,432075
France,2010,1998481,1998481,441067,441067
France,2011,2059284,2040034,461566,450180
France,2012,2086929,2043761,469106,451222
France,2013,2115256,2055538,466668,447587
France,2014,2147609,2075016,469072,447733
France,2015,2194243,2097166,473219,452173
Germany,1970,402370.3065,1158278.774,117777.6515,295386.7481
Germany,1971,446602.0285,1194564.17,133834.7482,313035.6359
Germany,1972,486917.1677,1245934.507,142695.6022,321439.871
Germany,1973,542318.4037,1305458.865,150250.3765,322899.5568
Germany,1974,586951.8265,1317078.345,146408.9658,294988.6441
Germany,1975,614836.5574,1305662.715,145410.199,281718.7993
Germany,1976,666600.1695,1370283.337,156460.6571,291582.7202
Germany,1977,710273.9737,1416149.708,168727.5619,304675.6395
Germany,1978,757585.4019,1458754.471,184093.2046,319405.1701
Germany,1979,822783.6742,1519298.082,207448.9816,339221.4601
Germany,1980,879858.6637,1540702.389,227987.724,346873.7402
Germany,1981,921445.8553,1548856.411,228026.1381,330684.5382
Germany,1982,959852.9157,1542740.894,224107.8992,315601.1422
Germany,1983,1002321.618,1566999.109,236336.3899,325066.959
Germany,1984,1051117.107,1611234.676,243033.2492,325553.5258
Germany,1985,1098439.694,1648743.176,248372.8101,327765.1666
Germany,1986,1157266.545,1686455.526,260255.5738,338204.1169
Germany,1987,1188509.941,1710102.188,269142.0371,345237.1289
Germany,1988,1253406.937,1773499.707,287004.5968,362664.8526
Germany,1989,1339739.136,1842605.04,315879.2005,388894.9154
Germany,1990,1458040.023,1939434.047,355586.5822,419990.5879
Germany,1991,1579800,2038505.41,392669,442328.16
Germany,1992,1695320,2077722.32,424903,460530.76
Germany,1993,1748550,2057855.86,418597,441174.83
Germany,1994,1830290,2108425.03,439056,457221.2
Germany,1995,1898880,2145061.88,443616,457070.76
Germany,1996,1926320,2162606.29,439703,454814.24
Germany,1997,1967090,2202597.22,442395,458374.53
Germany,1998,2018230,2246200.24,456438,476226.12
Germany,1999,2064880,2290835.27,472819,498340.02
Germany,2000,2116480,2358690.85,486536,510023.78
Germany,2001,2179850,2398681.78,472497,497136.54
Germany,2002,2209290,2398681.78,442718,468403.51
Germany,2003,2220080,2381653.39,433103,462185.54
Germany,2004,2270620,2409518.03,434972,462386.12
Germany,2005,2300860,2426546.43,438761,465846.12
Germany,2006,2393250,2516332.52,474371,500847.26
Germany,2007,2513230,2598378.43,505571,521206.09
Germany,2008,2561740,2626501.08,520809,529179.13
Germany,2009,2460280,2478921.65,471421,475824.96
Germany,2010,2580060,2580060,501449,501449
Germany,2011,2703120,2674490.2,547821,537402.89
Germany,2012,2758260,2687648.5,554746,533892.75
Germany,2013,2826240,2700806.81,557119,527775.07
Germany,2014,2923930,2743893.81,585147,545927.53
Germany,2015,3032820,2791108.91,603820,555154.19
Greece,1960,381.6745,39379.0747,85.7637,10610.1834
Greece,1961,436.8071,44578.6251,96.9483,12009.4518
Greece,1962,458.9624,44741.2526,111.5831,12595.5544
Greece,1963,519.0267,50040.7948,109.9902,11765.6301
Greece,1964,587.2053,54749.4719,135.7615,13968.7741
Greece,1965,676.9615,60644.9007,162.5867,16108.47
Greece,1966,756.4066,64583.4852,189.1838,16902.6435
Greece,1967,816.634,68245.0365,195.4035,16657.2723
Greece,1968,888.3941,73161.2171,242.1398,20552.0542
Greece,1969,1022.6551,81621.3369,292.3908,23788.0824
Greece,1970,1156.3079,88910.5962,319.3718,23056.6066
Greece,1971,1284.0745,95882.2335,370.5138,25828.5295
Greece,1972,1485.9246,105624.0133,493.0405,32104.9246
Greece,1973,1942.0277,114171.5084,650.6361,33975.0848
Greece,1974,2230.9149,106820.872,573.8296,22589.3989
Greece,1975,2684.2846,113621.9526,687.4913,25226.1532
Greece,1976,3339.5845,121407.2128,874.5829,26945.7073
Greece,1977,3910.6508,124977.8011,1164.761,30276.2013
Greece,1978,4772.3279,134034.7715,1582.617,33991.6287
Greece,1979,5922.1799,138433.9002,2097.1946,35448.0894
Greece,1980,7109.3909,139371.2791,2179.5747,29820.7691
Greece,1981,8511.5421,137205.838,2380.3789,26914.0061
Greece,1982,10705.1263,135651.7795,2709.9718,26046.0331
Greece,1983,12772.4207,134188.609,3464.8021,27701.9711
