Country,Year,Hours
Australia,1970,10171.93
Australia,1971,10311.38
Australia,1972,10351.24
Australia,1973,10559.52
Australia,1974,10873.16
Australia,1975,10756.9
Australia,1976,10960.64
Australia,1977,11071.91
Australia,1978,11053.78
Australia,1979,11377.53
Australia,1980,11604.07
Australia,1981,11682.73
Australia,1982,11306.18
Australia,1983,11523.35
Australia,1984,11780.33
Australia,1985,12331.5
Australia,1986,12639.42
Australia,1987,13086.25
Australia,1988,13634.29
Australia,1989,14074.94
Australia,1990,13802.31
Australia,1991,13628.46
Australia,1992,13630.86
Australia,1993,13967.34
Australia,1994,14582.96
Australia,1995,14922.44
Australia,1996,14997.71
Australia,1997,15206.02
Australia,1998,15422.42
Australia,1999,15900.09
Australia,2000,15934.95
Australia,2001,15892.93
Australia,2002,16319.82
Australia,2003,16652.47
Australia,2004,17033.17
Australia,2005,17423.94
Australia,2006,17926.21
Australia,2007,18465.16
Australia,2008,18665.73
Australia,2009,18668.09
Australia,2010,19153.38
Australia,2011,19458.7
Australia,2012,19528.25
Australia,2013,19665.18
Australia,2014,19845.41
Australia,2015,20187.77
Austria,1995,6399.96
Austria,1996,6543.18
Austria,1997,6622.64
Austria,1998,6610.14
Austria,1999,6724.24
Austria,2000,6789.27
Austria,2001,6789.92
Austria,2002,6774.35
Austria,2003,6786.38
Austria,2004,6840.46
Austria,2005,6833.37
Austria,2006,6882.43
Austria,2007,6967.9
Austria,2008,7069.99
Austria,2009,6813.57
Austria,2010,6845.04
Austria,2011,6981.7
Austria,2012,6960.23
Austria,2013,6917.83
Austria,2014,6940.73
Austria,2015,6898.89
Austria,2016,6960.06
Belgium,1970,7009.28
Belgium,1971,7019.18
Belgium,1972,6906.87
Belgium,1973,6866.35
Belgium,1974,6861.7
Belgium,1975,6728.55
Belgium,1976,6700.17
Belgium,1977,6579.77
Belgium,1978,6521.47
Belgium,1979,6520.7
Belgium,1980,6436.59
Belgium,1981,6229.24
Belgium,1982,6097.39
Belgium,1983,6038.99
Belgium,1984,6123.82
Belgium,1985,6174.4
Belgium,1986,6140.69
Belgium,1987,6131.07
Belgium,1988,6204.61
Belgium,1989,6266.48
Belgium,1990,6387.8
Belgium,1991,6266.79
Belgium,1992,6170.14
Belgium,1993,5961.84
Belgium,1994,5936.92
Belgium,1995,6132.52
Belgium,1996,6047.83
Belgium,1997,6139.78
Belgium,1998,6291.21
Belgium,1999,6373.96
Belgium,2000,6553.08
