Country,Year,NGDP,NDispIncome,NFinalConsumption,NSavings
Australia,1959,16602,13932,11341,2592
Australia,1960,17560,14724,12090,2634
Australia,1961,17779,14966,12541,2425
Australia,1962,19222,16112,13367,2745
Australia,1963,21240,17893,14491,3402
Australia,1964,23182,19452,15848,3604
Australia,1965,24366,20317,17059,3259
Australia,1966,27163,22595,18538,4057
Australia,1967,29187,24110,20384,3726
Australia,1968,32733,27149,22135,5013
Australia,1969,36881,30317,24617,5700
Australia,1970,40344,33395,27373,6022
Australia,1971,44515,37089,30518,6571
Australia,1972,49782,42036,34140,7895
Australia,1973,60323,50806,40709,10096
Australia,1974,71199,60845,51393,9452
Australia,1975,83276,70757,60933,9823
Australia,1976,96130,81284,70835,10448
Australia,1977,104974,87742,78948,8794
Australia,1978,118659,99542,87286,12256
Australia,1979,134524,112935,97806,15129
Australia,1980,152282,128759,111828,16931
Australia,1981,175781,145967,129067,16900
Australia,1982,189313,157748,146390,11358
Australia,1983,213667,177735,159845,17889
Australia,1984,235280,195558,173621,21937
Australia,1985,260590,214168,195575,18593
Australia,1986,286185,232989,216133,16857
Australia,1987,324545,265047,237751,27296
Australia,1988,368358,298823,264223,34600
Australia,1989,404698,325031,292222,32809
Australia,1990,415444,329571,312604,16967
Australia,1991,423498,335337,329801,5535
Australia,1992,444569,356643,342743,13900
Australia,1993,467210,376402,355395,21007
Australia,1994,496150,395258,377220,18038
Australia,1995,529598,424157,400683,23474
Australia,1996,557246,449543,417335,32208
Australia,1997,589394,474866,443919,30947
Australia,1998,621000,499722,473121,26601
Australia,1999,661515,534186,501122,33064
Australia,2000,706042,568437,539424,29013
Australia,2001,754228,609024,570024,39000
Australia,2002,801587,647550,610775,36775
Australia,2003,862219,697905,652161,45744
Australia,2004,922845,736872,694793,42079
Australia,2005,998458,795023,740339,54684
Australia,2006,1087440,860083,802132,57951
Australia,2007,1178809,937991,866104,71887
Australia,2008,1259280,1007858,906581,101277
Australia,2009,1297508,1029077,952605,76472
Australia,2010,1410442,1124887,1013365,111522
Australia,2011,1491741,1207046,1070745,136301
Australia,2012,1527529,1237408,1110409,126999
Australia,2013,1589940,1278931,1161670,117261
Australia,2014,1617016,1296260,1208049,88211
Australia,2015,1654864,1323513,1265996,57516
Australia,2016,1714573,..,..,..
Austria,1970,28977,24570,20060,4209
Austria,1971,32349,27430,22484,4630
Austria,1972,36969,31305,25405,5483
Austria,1973,41896,35485,28785,6232
Austria,1974,47686,40374,32985,6918
Austria,1975,50581,42665,37103,5572
Austria,1976,55872,47338,41476,5944
Austria,1977,61762,52078,46281,5844
Austria,1978,65326,54851,48158,6782
Austria,1979,71657,60324,52473,7982
Austria,1980,76966,64449,56896,7636
Austria,1981,82017,68154,61806,6325
Austria,1982,88147,73250,66930,6261
Austria,1983,93920,78419,72457,5843
Austria,1984,98619,82262,75047,7157
Austria,1985,104079,86984,79309,7616
Austria,1986,109616,91278,82887,8353
Austria,1987,113811,94656,85894,8726
Austria,1988,119357,99853,89185,10727
Austria,1989,127673,106854,94566,12411
Austria,1990,137217,115029,101254,13943
Austria,1991,147109,122396,108099,14451
Austria,1992,155414,129236,115799,13488
Austria,1993,160540,133107,120820,12233
Austria,1994,168548,139553,126536,12971
Austria,1995,176183,145472,131192,14280
Austria,1996,182133,150826,136578,14248
Austria,1997,188310,154973,139979,14994
Austria,1998,195828,160791,144591,16200
Austria,1999,203418,166081,149316,16765
Austria,2000,213196,173803,155696,18107
Austria,2001,220096,178090,160799,17291
Austria,2002,226303,184959,163768,21192
