DATE,Oil Price,Year
01/01/1946,1.358,1946
01/01/1947,1.841,1947
01/01/1948,2.57,1948
01/01/1949,2.57,1949
01/01/1950,2.57,1950
01/01/1951,2.57,1951
01/01/1952,2.57,1952
01/01/1953,2.716,1953
01/01/1954,2.82,1954
01/01/1955,2.82,1955
01/01/1956,2.82,1956
01/01/1957,3.043,1957
01/01/1958,3.058,1958
01/01/1959,2.975,1959
01/01/1960,2.97,1960
01/01/1961,2.97,1961
01/01/1962,2.97,1962
01/01/1963,2.97,1963
01/01/1964,2.945,1964
01/01/1965,2.92,1965
01/01/1966,2.937,1966
01/01/1967,3.027,1967
01/01/1968,3.07,1968
01/01/1969,3.295,1969
01/01/1970,3.351,1970
01/01/1971,3.56,1971
01/01/1972,3.56,1972
01/01/1973,3.873,1973
01/01/1974,10.373,1974
01/01/1975,11.16,1975
01/01/1976,12.645,1976
01/01/1977,14.296,1977
01/01/1978,14.85,1978
01/01/1979,22.404,1979
01/01/1980,37.375,1980
01/01/1981,36.667,1981
01/01/1982,33.636,1982
01/01/1983,30.395,1983
01/01/1984,29.276,1984
01/01/1985,27.973,1985
01/01/1986,15.04,1986
01/01/1987,19.162,1987
01/01/1988,15.96,1988
01/01/1989,19.591,1989
01/01/1990,24.493,1990
01/01/1991,21.481,1991
01/01/1992,20.561,1992
01/01/1993,18.458,1993
01/01/1994,17.186,1994
01/01/1995,18.428,1995
01/01/1996,22.154,1996
01/01/1997,20.599,1997
01/01/1998,14.388,1998
01/01/1999,19.252,1999
01/01/2000,30.298,2000
01/01/2001,25.924,2001
01/01/2002,26.098,2002
01/01/2003,31.14,2003
01/01/2004,41.438,2004
01/01/2005,56.466,2005
01/01/2006,66.103,2006
01/01/2007,72.363,2007
01/01/2008,99.568,2008
01/01/2009,61.693,2009
01/01/2010,79.428,2010
01/01/2011,95.077,2011
01/01/2012,94.201,2012
01/01/2013,97.936,2013
01/01/2014,93.258,2014
01/01/2015,48.688,2015
01/01/2016,43.144,2016
