Country,Year,PATAPPRESID
Australia,1960,..
Australia,1961,..
Australia,1962,..
Australia,1963,3978
Australia,1964,3972
Australia,1965,4123
Australia,1966,4445
Australia,1967,4058
Australia,1968,4201
Australia,1969,4070
Australia,1970,3984
Australia,1971,4391
Australia,1972,4606
Australia,1973,4651
Australia,1974,4300
Australia,1975,4311
Australia,1976,4320
Australia,1977,4364
Australia,1978,4558
Australia,1979,4744
Australia,1980,6582
Australia,1981,6341
Australia,1982,6603
Australia,1983,6930
Australia,1984,7170
Australia,1985,..
Australia,1986,..
Australia,1987,..
Australia,1988,..
Australia,1989,..
Australia,1990,..
Australia,1991,..
Australia,1992,..
Australia,1993,..
Australia,1994,..
Australia,1995,1784
Australia,1996,1797
Australia,1997,1760
Australia,1998,1862
Australia,1999,1858
Australia,2000,1928
Australia,2001,2187
Australia,2002,2364
Australia,2003,2418
Australia,2004,2559
Australia,2005,2555
Australia,2006,2837
Australia,2007,2718
Australia,2008,2821
Australia,2009,2494
Australia,2010,2409
Australia,2011,2383
Australia,2012,2627
Australia,2013,3061
Australia,2014,1988
Australia,2015,2291
Australia,2016,..
Austria,1960,..
Austria,1961,..
Austria,1962,..
Austria,1963,2586
Austria,1964,2623
Austria,1965,2714
Austria,1966,2547
Austria,1967,2593
Austria,1968,2486
Austria,1969,2422
Austria,1970,2267
Austria,1971,2252
Austria,1972,2373
Austria,1973,2280
Austria,1974,2365
Austria,1975,2525
Austria,1976,2551
Austria,1977,2385
Austria,1978,2303
Austria,1979,2446
Austria,1980,2327
Austria,1981,2390
Austria,1982,2233
Austria,1983,2345
Austria,1984,2324
Austria,1985,2269
Austria,1986,2210
Austria,1987,2249
Austria,1988,2212
Austria,1989,2105
Austria,1990,2025
Austria,1991,2076
Austria,1992,2117
Austria,1993,2190
Austria,1994,1989
Austria,1995,1728
Austria,1996,1909
Austria,1997,1910
Austria,1998,1957
Austria,1999,2028
Austria,2000,1961
Austria,2001,1815
Austria,2002,1932
Austria,2003,2120
Austria,2004,2248
Austria,2005,2270
Austria,2006,2271
Austria,2007,2385
Austria,2008,2298
Austria,2009,2263
Austria,2010,2424
Austria,2011,2154
Austria,2012,2258
Austria,2013,2162
Austria,2014,2092
Austria,2015,2205
Austria,2016,..
Belgium,1960,..
Belgium,1961,..
Belgium,1962,..
Belgium,1963,..
Belgium,1964,..
Belgium,1965,1766
Belgium,1966,1671
Belgium,1967,1607
Belgium,1968,1466
Belgium,1969,1456
Belgium,1970,1339
Belgium,1971,1359
Belgium,1972,1342
Belgium,1973,1242
Belgium,1974,1109
Belgium,1975,1060
Belgium,1976,1038
Belgium,1977,1073
Belgium,1978,1000
Belgium,1979,853
Belgium,1980,865
Belgium,1981,806
Belgium,1982,914
Belgium,1983,805
Belgium,1984,869
Belgium,1985,771
Belgium,1986,794
Belgium,1987,548
Belgium,1988,636
Belgium,1989,681
Belgium,1990,643
Belgium,1991,625
Belgium,1992,675
Belgium,1993,809
Belgium,1994,744
Belgium,1995,732
Belgium,1996,776
Belgium,1997,792
Belgium,1998,690
Belgium,1999,591
Belgium,2000,577
Belgium,2001,571
Belgium,2002,601
Belgium,2003,519
Belgium,2004,514
Belgium,2005,517
Belgium,2006,490
Belgium,2007,454
Belgium,2008,575
Belgium,2009,669
Belgium,2010,620
Belgium,2011,636
Belgium,2012,755
Belgium,2013,715
Belgium,2014,889
Belgium,2015,949
Belgium,2016,..
Canada,1960,1506
Canada,1961,1310
Canada,1962,1613
Canada,1963,1703
Canada,1964,1715
Canada,1965,1734
Canada,1966,1854
Canada,1967,1655
Canada,1968,1591
Canada,1969,1785
Canada,1970,1814
Canada,1971,1986
Canada,1972,1970
Canada,1973,1942
Canada,1974,1936
Canada,1975,1782
Canada,1976,1854
Canada,1977,1883
Canada,1978,1838
Canada,1979,1796
Canada,1980,1648
Canada,1981,2164
Canada,1982,2000
Canada,1983,2017
Canada,1984,2026
Canada,1985,2092
Canada,1986,2161
Canada,1987,2527
Canada,1988,2772
