행정구역별(읍면동)	총인구 (명)	남자 (명)	여자 (명)	내국인-계 (명)	내국인-남자 (명)	내국인-여자 (명)	외국인-계 (명)	외국인-남자 (명)	외국인-여자 (명)	가구-계 (가구)	일반가구 (가구)	집단가구 (가구)	외국인가구 (가구)	주택-계 (호)	단독주택 (호)	아파트 (호)	연립주택 (호)	다세대주택 (호)	비거주용 건물내 주택 (호)	주택이외의 거처 (호)
전국	5.1829136E7	2.5915207E7	2.5913929E7	5.0133493E7	2.4972588E7	2.5160905E7	1695643.0	942619.0	753024.0	2.1484785E7	2.092671E7	16388.0	541687.0	1.8525844E7	3897729.0	1.1661851E7	521606.0	2230787.0	213871.0	1000903.0
읍부	5113052.0	2624351.0	2488701.0	4904647.0	2494271.0	2410376.0	208405.0	130080.0	78325.0	2080384.0	2021664.0	2353.0	56367.0	1992568.0	579820.0	1142894.0	79981.0	159041.0	30832.0	74804.0
면부	4650781.0	2420392.0	2230389.0	4394145.0	2237761.0	2156384.0	256636.0	182631.0	74005.0	2068878.0	2008345.0	4237.0	56296.0	2105345.0	1539804.0	427449.0	36565.0	69672.0	31855.0	103889.0
동부	4.2065303E7	2.0870464E7	2.1194839E7	4.0834701E7	2.0240556E7	2.0594145E7	1230602.0	629908.0	600694.0	1.7335523E7	1.6896701E7	9798.0	429024.0	1.4427931E7	1778105.0	1.0091508E7	405060.0	2002074.0	151184.0	822210.0
서울특별시	9586195.0	4647733.0	4938462.0	9219741.0	4474343.0	4745398.0	366454.0	173390.0	193064.0	4126524.0	3982290.0	2264.0	141970.0	3015371.0	307075.0	1772670.0	110562.0	796066.0	28998.0	248125.0
　　　종로구	151291.0	73062.0	78229.0	139718.0	67919.0	71799.0	11573.0	5143.0	6430.0	68069.0	63414.0	115.0	4540.0	46859.0	12259.0	15688.0	5460.0	12540.0	912.0	5663.0
　　　중구	128744.0	62147.0	66597.0	117252.0	56725.0	60527.0	11492.0	5422.0	6070.0	59817.0	55093.0	96.0	4628.0	42234.0	5967.0	26102.0	1944.0	7352.0	869.0	5695.0
　　　용산구	225882.0	109162.0	116720.0	208602.0	99866.0	108736.0	17280.0	9296.0	7984.0	101431.0	95714.0	89.0	5628.0	74542.0	14064.0	37676.0	3969.0	18124.0	709.0	6611.0
　　　성동구	291918.0	142128.0	149790.0	281266.0	137301.0	143965.0	10652.0	4827.0	5825.0	126658.0	122186.0	69.0	4403.0	91329.0	10525.0	67584.0	1990.0	10158.0	1072.0	6092.0
　　　광진구	353967.0	169925.0	184042.0	333985.0	161130.0	172855.0	19982.0	8795.0	11187.0	160944.0	152090.0	78.0	8776.0	89832.0	15332.0	32135.0	4054.0	36858.0	1453.0	8065.0
　　　동대문구	351057.0	171484.0	179573.0	331833.0	163507.0	168326.0	19224.0	7977.0	11247.0	158899.0	150373.0	131.0	8395.0	103520.0	17120.0	65033.0	3274.0	16511.0	1582.0	11084.0
　　　중랑구	385663.0	189537.0	196126.0	378258.0	186593.0	191665.0	7405.0	2944.0	4461.0	167617.0	164832.0	49.0	2736.0	112364.0	18560.0	55499.0	4466.0	32303.0	1536.0	4471.0
　　　성북구	438833.0	209682.0	229151.0	425295.0	204207.0	221088.0	13538.0	5475.0	8063.0	184871.0	179660.0	192.0	5019.0	138621.0	22520.0	79206.0	6262.0	29213.0	1420.0	3730.0
　　　강북구	299535.0	144779.0	154756.0	294351.0	142837.0	151514.0	5184.0	1942.0	3242.0	131884.0	129805.0	72.0	2007.0	97452.0	17557.0	34733.0	4789.0	39331.0	1042.0	2539.0
　　　도봉구	315979.0	153080.0	162899.0	312852.0	151906.0	160946.0	3127.0	1174.0	1953.0	128378.0	127362.0	49.0	967.0	107156.0	8634.0	65032.0	4144.0	28620.0	726.0	4127.0
　　　노원구	511982.0	246317.0	265665.0	506237.0	243759.0	262478.0	5745.0	2558.0	3187.0	204210.0	202695.0	86.0	1429.0	189213.0	6619.0	163502.0	3448.0	14948.0	696.0	3261.0
　　　은평구	463102.0	221828.0	241274.0	456902.0	219268.0	237634.0	6200.0	2560.0	3640.0	192581.0	190631.0	77.0	1873.0	150658.0	14937.0	59438.0	5830.0	69210.0	1243.0	9905.0
　　　서대문구	317209.0	148696.0	168513.0	302902.0	143329.0	159573.0	14307.0	5367.0	8940.0	138528.0	133112.0	99.0	5317.0	101036.0	12600.0	54132.0	5461.0	27910.0	933.0	6083.0
　　　마포구	365612.0	171161.0	194451.0	352890.0	165953.0	186937.0	12722.0	5208.0	7514.0	166007.0	160681.0	100.0	5226.0	122311.0	11618.0	70307.0	3142.0	35643.0	1601.0	15829.0
　　　양천구	439068.0	214978.0	224090.0	433221.0	212412.0	220809.0	5847.0	2566.0	3281.0	168184.0	166044.0	44.0	2096.0	143769.0	7698.0	90788.0	4042.0	40382.0	859.0	6567.0
　　　강서구	564854.0	271779.0	293075.0	555952.0	267919.0	288033.0	8902.0	3860.0	5042.0	247202.0	244097.0	74.0	3031.0	195383.0	10260.0	113767.0	4794.0	65426.0	1136.0	28136.0
　　　구로구	435442.0	216855.0	218587.0	389832.0	192124.0	197708.0	45610.0	24731.0	20879.0	182636.0	164083.0	96.0	18457.0	133012.0	11474.0	83459.0	7388.0	29852.0	839.0	14324.0
